benché           	benché          	Benché si rendesse conto che era giorno fatto, tenne gli occhi ben chiusi.
viscida          	viscido         	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
vasi             	vaso            	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
officinali       	officinale      	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
radici           	radice          	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
polveri          	polvere         	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
brillanti        	brillante       	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
allineati        	allineare       	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
fasci            	fascio          	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
piume            	piuma           	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
zanne            	zanna           	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
fondamentali     	fondamentale    	Mentre Hagrid chiedeva all’uomo dietro il bancone una provvista di certi ingredienti fondamentali per preparare pozioni, Harry esaminava alcuni corni argentati di unicorno, che costavano ventuno galeoni ciascuno, e minuscoli occhi di coleottero neri e lucenti (a cinque zellini la manciata).
corni            	corno           	Mentre Hagrid chiedeva all’uomo dietro il bancone una provvista di certi ingredienti fondamentali per preparare pozioni, Harry esaminava alcuni corni argentati di unicorno, che costavano ventuno galeoni ciascuno, e minuscoli occhi di coleottero neri e lucenti (a cinque zellini la manciata).
argentati        	argentato       	Mentre Hagrid chiedeva all’uomo dietro il bancone una provvista di certi ingredienti fondamentali per preparare pozioni, Harry esaminava alcuni corni argentati di unicorno, che costavano ventuno galeoni ciascuno, e minuscoli occhi di coleottero neri e lucenti (a cinque zellini la manciata).
unicorno         	unicorno        	Mentre Hagrid chiedeva all’uomo dietro il bancone una provvista di certi ingredienti fondamentali per preparare pozioni, Harry esaminava alcuni corni argentati di unicorno, che costavano ventuno galeoni ciascuno, e minuscoli occhi di coleottero neri e lucenti (a cinque zellini la manciata).
ventuno          	ventuno         	Mentre Hagrid chiedeva all’uomo dietro il bancone una provvista di certi ingredienti fondamentali per preparare pozioni, Harry esaminava alcuni corni argentati di unicorno, che costavano ventuno galeoni ciascuno, e minuscoli occhi di coleottero neri e lucenti (a cinque zellini la manciata).
ciascuno         	ciascuno        	Mentre Hagrid chiedeva all’uomo dietro il bancone una provvista di certi ingredienti fondamentali per preparare pozioni, Harry esaminava alcuni corni argentati di unicorno, che costavano ventuno galeoni ciascuno, e minuscoli occhi di coleottero neri e lucenti (a cinque zellini la manciata).
minuscoli        	minuscolo       	Mentre Hagrid chiedeva all’uomo dietro il bancone una provvista di certi ingredienti fondamentali per preparare pozioni, Harry esaminava alcuni corni argentati di unicorno, che costavano ventuno galeoni ciascuno, e minuscoli occhi di coleottero neri e lucenti (a cinque zellini la manciata).
coleottero       	coleottero      	Mentre Hagrid chiedeva all’uomo dietro il bancone una provvista di certi ingredienti fondamentali per preparare pozioni, Harry esaminava alcuni corni argentati di unicorno, che costavano ventuno galeoni ciascuno, e minuscoli occhi di coleottero neri e lucenti (a cinque zellini la manciata).
starnutire       	starnutire      	Non un rospo, i rospi sono passati di moda anni fa, ti riderebbero dietro... e i gatti non mi piacciono, mi fanno starnutire.
locale           	locale          	Venti minuti dopo, uscivano dall’Emporio del Gufo, un locale buio, pieno di animali che raspavano e frullavano in aria, con gli occhi luccicanti come gemme preziose.
frullavano       	frullare        	Venti minuti dopo, uscivano dall’Emporio del Gufo, un locale buio, pieno di animali che raspavano e frullavano in aria, con gli occhi luccicanti come gemme preziose.
gemme            	gemma           	Venti minuti dopo, uscivano dall’Emporio del Gufo, un locale buio, pieno di animali che raspavano e frullavano in aria, con gli occhi luccicanti come gemme preziose.
trasportava      	trasportare     	Ora Harry trasportava una grossa gabbia che conteneva una bella civetta bianca come la neve, profondamente addormentata con la testa sotto l’ala.
ringraziamenti   	ringraziamento  	Non riusciva a smettere di balbettare ringraziamenti, tanto che sembrava il professor Quirrell.
angusto          	angusto         	Quest’ultimo negozio era angusto e trasandato.
trasandato       	trasandato      	Quest’ultimo negozio era angusto e trasandato.
scortecciate     	scortecciare    	Un’insegna a lettere d’oro scortecciate sopra la porta diceva:
fabbrica         	fabbrica        	‘Ollivander: fabbrica di bacchette di qualità superiore dal 382 a.C.’ Nella vetrina polverosa, su un cuscino color porpora stinto, era esposta una sola bacchetta.
qualità          	qualità         	‘Ollivander: fabbrica di bacchette di qualità superiore dal 382 a.C.’ Nella vetrina polverosa, su un cuscino color porpora stinto, era esposta una sola bacchetta.
superiore        	superiore       	‘Ollivander: fabbrica di bacchette di qualità superiore dal 382 a.C.’ Nella vetrina polverosa, su un cuscino color porpora stinto, era esposta una sola bacchetta.
polverosa        	polveroso       	‘Ollivander: fabbrica di bacchette di qualità superiore dal 382 a.C.’ Nella vetrina polverosa, su un cuscino color porpora stinto, era esposta una sola bacchetta.
cuscino          	cuscino         	‘Ollivander: fabbrica di bacchette di qualità superiore dal 382 a.C.’ Nella vetrina polverosa, su un cuscino color porpora stinto, era esposta una sola bacchetta.
stinto           	stinto          	‘Ollivander: fabbrica di bacchette di qualità superiore dal 382 a.C.’ Nella vetrina polverosa, su un cuscino color porpora stinto, era esposta una sola bacchetta.
scampanellio     	scampanellio    	Un lieve scampanellio, proveniente da anfratti non meglio identificati del negozio, accolse il loro ingresso.
anfratti         	anfratto        	Un lieve scampanellio, proveniente da anfratti non meglio identificati del negozio, accolse il loro ingresso.
identificati     	identificare    	Un lieve scampanellio, proveniente da anfratti non meglio identificati del negozio, accolse il loro ingresso.
accolse          	accogliere      	Un lieve scampanellio, proveniente da anfratti non meglio identificati del negozio, accolse il loro ingresso.
malferma         	malfermo        	Era un luogo minuscolo, vuoto, tranne che per una sedia malferma su cui Hagrid si sedette, nell’attesa.
migliaia         	migliaio        	Ricacciò via un mucchio di nuove domande che gli erano appena venute in mente e si mise a osservare le migliaia di scatoline strette strette, tutte impilate in bell’ordine fino al soffitto.
impilate         	impilare        	Ricacciò via un mucchio di nuove domande che gli erano appena venute in mente e si mise a osservare le migliaia di scatoline strette strette, tutte impilate in bell’ordine fino al soffitto.
pizzicore        	pizzicore       	Chissà perché, sentiva un pizzicore alla nuca.
fremere          	fremere         	Persino la polvere e il silenzio di quel luogo sembravano fremere di una segreta magia.
scoloriti        	scolorato       	Avevano di fronte un uomo anziano con occhi grandi e scoloriti che rilucevano nella penombra del negozio come due astri lunari.
rilucevano       	rilucere        	Avevano di fronte un uomo anziano con occhi grandi e scoloriti che rilucevano nella penombra del negozio come due astri lunari.
penombra         	penombra        	Avevano di fronte un uomo anziano con occhi grandi e scoloriti che rilucevano nella penombra del negozio come due astri lunari.
astri            	astro           	Avevano di fronte un uomo anziano con occhi grandi e scoloriti che rilucevano nella penombra del negozio come due astri lunari.
salve            	salve           	«Salve» disse Harry imbarazzato.
imbarazzato      	imbarazzato     	«Salve» disse Harry imbarazzato.
conoscenza       	conoscenza      	«Sì, sì, sì, ero sicuro che avrei fatto presto la sua conoscenza.
pollici          	pollice         	Lunga dieci pollici e un quarto, sibilante, di salice.
quarto           	quarto          	Lunga dieci pollici e un quarto, sibilante, di salice.
salice           	salice          	Lunga dieci pollici e un quarto, sibilante, di salice.
incanto          	incanto         	Una bella bacchetta, lavorava d’incanto».
mogano           	mogano          	«Suo padre, invece, preferì una bacchetta di mogano.
flessibile       	flessibile      	Flessibile.
riflesso         	riflesso        	Ollivander si era fatto talmente vicino da toccare quasi il naso di Harry, che si vedeva riflesso in quegli occhi velati.
velati           	velato          	Ollivander si era fatto talmente vicino da toccare quasi il naso di Harry, che si vedeva riflesso in quegli occhi velati.
tredici          	tredici         	«Tredici pollici e mezzo.
sbagliate        	sbagliato       	Una bacchetta potente, molto potente, e nelle mani sbagliate...
quercia          	quercia         	Quercia, sedici pollici, piuttosto flessibile;
azzeccato        	azzeccare       	» «Azzeccato, signore» disse Hagrid.
aggiunse         	aggiungere      	«Però conservo ancora le due metà» aggiunse vivacemente.
vivacemente      	vivacemente     	«Però conservo ancora le due metà» aggiunse vivacemente.
inquisitorio     	inquisitorio    	«Ma non le usi, vero?» chiese Ollivander con fare inquisitorio.
metro            	metro           	«Allora, signor Potter, vediamo un po’» e tirò fuori dalla tasca un lungo metro a nastro con le tacche d’argento.
tacche           	tacca           	«Allora, signor Potter, vediamo un po’» e tirò fuori dalla tasca un lungo metro a nastro con le tacche d’argento.
alzi             	alzare          	«Alzi il braccio.
gomito           	gomito          	Misurò il braccio di Harry dalla spalla alla punta delle dita, poi dal polso al gomito, dalla spalla a terra, dal ginocchio all’ascella e poi prese anche la circonferenza della testa.
ascella          	ascella         	Misurò il braccio di Harry dalla spalla alla punta delle dita, poi dal polso al gomito, dalla spalla a terra, dal ginocchio all’ascella e poi prese anche la circonferenza della testa.
circonferenza    	circonferenza   	Misurò il braccio di Harry dalla spalla alla punta delle dita, poi dal polso al gomito, dalla spalla a terra, dal ginocchio all’ascella e poi prese anche la circonferenza della testa.
nucleo           	nucleo          	«Ogni bacchetta Ollivander ha il nucleo fatto di una potente sostanza magica, signor Potter.
sostanza         	sostanza        	«Ogni bacchetta Ollivander ha il nucleo fatto di una potente sostanza magica, signor Potter.
crini            	crine           	Usiamo crini di unicorno, piume della coda della fenice e corde del cuore di drago.
fenice           	fenice          	Usiamo crini di unicorno, piume della coda della fenice e corde del cuore di drago.
corde            	corda           	Usiamo crini di unicorno, piume della coda della fenice e corde del cuore di drago.
risultati        	risultato       	E naturalmente, non si ottengono mai risultati altrettanto buoni con la bacchetta di un altro mago».
narici           	narice          	All’improvviso, Harry si accorse che il metro a nastro, che gli stava misurando la distanza fra le narici, stava facendo tutto da solo.
volteggiava      	volteggiare     	Ollivander, infatti, volteggiava tra gli scaffali, tirando giù scatole.
afflosciò        	afflosciarsi    	«Può bastare così» disse, e il metro a nastro si afflosciò sul pavimento.
faggio           	faggio          	Legno di faggio e corde di cuore di drago.
bella            	bella           	Bella flessibile.
agiti            	agitare         	La prenda e la agiti in aria».
debolmente       	debolmente      	Harry prese la bacchetta e, sentendosi un po’ sciocco, la agitò debolmente, ma Ollivander gliela strappò quasi subito di mano.
acero            	acero           	«Acero e piume di fenice.
ebano            	ebano           	«No, no... ecco, ebano e crini di unicorno, otto pollici e mezzo, elastica.
elastica         	elastico        	«No, no... ecco, ebano e crini di unicorno, otto pollici e mezzo, elastica.
ammucchiando     	ammucchiare     	Le bacchette si stavano ammucchiando sulla sedia, ma più Ollivander ne tirava fuori dagli scaffali, più sembrava felice.
cliente          	cliente         	«Un cliente difficile, eh?
pennello         	pennello        	No, niente paura, troveremo quella che va a pennello...
agrifoglio       	agrifoglio      	Ora, mi chiedo... sì, perché no... combinazione insolita... agrifoglio e piume di fenice, undici pollici, bella flessibile».
abbassò          	abbassare       	La alzò sopra la testa, la abbassò sferzando l’aria polverosa e una scia di scintille rosse e oro si sprigionò dall’estremità come un fuoco d’artificio, proiettando sulle pareti minuscoli riflessi danzanti di luce.
scia             	scia            	La alzò sopra la testa, la abbassò sferzando l’aria polverosa e una scia di scintille rosse e oro si sprigionò dall’estremità come un fuoco d’artificio, proiettando sulle pareti minuscoli riflessi danzanti di luce.
scintille        	scintilla       	La alzò sopra la testa, la abbassò sferzando l’aria polverosa e una scia di scintille rosse e oro si sprigionò dall’estremità come un fuoco d’artificio, proiettando sulle pareti minuscoli riflessi danzanti di luce.
sprigionò        	sprigionarsi    	La alzò sopra la testa, la abbassò sferzando l’aria polverosa e una scia di scintille rosse e oro si sprigionò dall’estremità come un fuoco d’artificio, proiettando sulle pareti minuscoli riflessi danzanti di luce.
proiettando      	proiettare      	La alzò sopra la testa, la abbassò sferzando l’aria polverosa e una scia di scintille rosse e oro si sprigionò dall’estremità come un fuoco d’artificio, proiettando sulle pareti minuscoli riflessi danzanti di luce.
danzanti         	danzante        	La alzò sopra la testa, la abbassò sferzando l’aria polverosa e una scia di scintille rosse e oro si sprigionò dall’estremità come un fuoco d’artificio, proiettando sulle pareti minuscoli riflessi danzanti di luce.
entusiasmo       	entusiasmo      	Hagrid gridò d’entusiasmo e batté le mani e Ollivander esclamò:
sbiaditi         	sbiadito        	«Scusi» fece Harry, «ma che cosa c’è di strano?» Ollivander lo fissò con i suoi occhi sbiaditi.
destinato        	destinare       	È veramente molto strano che lei sia destinato a questa bacchetta, visto che la sua gemella... sì, la sua gemella le ha procurato quella cicatrice».
gemella          	gemello         	È veramente molto strano che lei sia destinato a questa bacchetta, visto che la sua gemella... sì, la sua gemella le ha procurato quella cicatrice».
procurato        	procurare       	È veramente molto strano che lei sia destinato a questa bacchetta, visto che la sua gemella... sì, la sua gemella le ha procurato quella cicatrice».
curioso          	curioso         	Curioso come accadano queste cose.
avanzato         	avanzato        	Era ormai pomeriggio avanzato e il sole era basso all’orizzonte quando Harry e Hagrid si misero sulla via del ritorno ripercorrendo Diagon Alley e riattraversarono il muro fino al Paiolo Magico, ormai deserto.
orizzonte        	orizzonte       	Era ormai pomeriggio avanzato e il sole era basso all’orizzonte quando Harry e Hagrid si misero sulla via del ritorno ripercorrendo Diagon Alley e riattraversarono il muro fino al Paiolo Magico, ormai deserto.
ripercorrendo    	ripercorrere    	Era ormai pomeriggio avanzato e il sole era basso all’orizzonte quando Harry e Hagrid si misero sulla via del ritorno ripercorrendo Diagon Alley e riattraversarono il muro fino al Paiolo Magico, ormai deserto.
riattraversarono 	riattraversare  	Era ormai pomeriggio avanzato e il sole era basso all’orizzonte quando Harry e Hagrid si misero sulla via del ritorno ripercorrendo Diagon Alley e riattraversarono il muro fino al Paiolo Magico, ormai deserto.
deserto          	deserto         	Era ormai pomeriggio avanzato e il sole era basso all’orizzonte quando Harry e Hagrid si misero sulla via del ritorno ripercorrendo Diagon Alley e riattraversarono il muro fino al Paiolo Magico, ormai deserto.
carichi          	carico          	non notò nemmeno quanta gente li guardasse a bocca aperta, in metropolitana, carichi com’erano di tutti quei pacchi dalle forme bizzarre e con la civetta candida addormentata sulle ginocchia.
boccone          	boccone         	«C’è tempo per un boccone, prima del tuo treno» disse.
panchine         	panchina        	Gli comprò un hamburger e si sedettero a mangiare su panchine di plastica.
plastica         	plastica        	Gli comprò un hamburger e si sedettero a mangiare su panchine di plastica.
zitto            	zitto           	Te ne stai così zitto» disse Hagrid.
spiegarsi        	spiegarsi       	Harry non era sicuro di riuscire a spiegarsi.
capolino         	capolino        	Dietro la barba incolta e le folte sopracciglia faceva capolino un sorriso pieno di gentilezza.
gentilezza       	gentilezza      	Dietro la barba incolta e le folte sopracciglia faceva capolino un sorriso pieno di gentilezza.
basi             	base            	A Hogwarts tutti cominciano dalle basi.
riportato        	riportare       	Hagrid aiutò il ragazzo a salire sul treno che lo avrebbe riportato dai Dursley, e poi gli porse una busta.
spediscimi       	spedire         	Se hai problemi con i Dursley, spediscimi una lettera con la tua civetta, lei saprà dove trovarmi... A presto, Harry».
finestrino       	finestrino      	si alzò in piedi sul sedile e schiacciò il naso contro il finestrino, ma non fece in tempo a battere le palpebre che Hagrid era sparito.
