HPitb1ch05-0001	benché	Benché si rendesse conto che era giorno fatto, tenne gli occhi ben chiusi.
HPitb1ch05-0391	nocciolina	Harry gustò in silenzio il gelato che Hagrid gli aveva comprato (cioccolato e lamponi con granella di noccioline).
HPitb1ch05-0392	mentire	«Niente» mentì Harry.
HPitb1ch05-0393	acquistare	Si fermarono per acquistare pergamena e penne d’oca.
HPitb1ch05-0394	pregare	» «Non farmi sentire ancora più a disagio» lo pregò Harry.
HPitb1ch05-0395	stirpe	alcuni dei migliori erano gli unici che avevano poteri magici in una lunga stirpe di Babbani... Prendi tua madre!
HPitb1ch05-0396	razza	Guarda che razza di sorella aveva!
HPitb1ch05-0397	palla	Si gioca in aria, a cavallo di scope e con quattro palle... È difficile spiegare le regole».
HPitb1ch05-0398	branco	Tutti dicono che quelli di Tassofrasso sono un branco di schiappe, ma...» «Scommetto che io finisco a Tassofrasso» disse Harry tristemente.
HPitb1ch05-0399	schiappa	Tutti dicono che quelli di Tassofrasso sono un branco di schiappe, ma...» «Scommetto che io finisco a Tassofrasso» disse Harry tristemente.
HPitb1ch05-0400	ghirigoro	Comprarono i libri di testo per Harry in un negozio chiamato ‘Il Ghirigoro di Flourish & Blott’ dove gli scaffali erano stipati fino al soffitto di libri grossi come lastroni di pietra e rilegati in pelle;
HPitb1ch05-0401	stipare	Comprarono i libri di testo per Harry in un negozio chiamato ‘Il Ghirigoro di Flourish & Blott’ dove gli scaffali erano stipati fino al soffitto di libri grossi come lastroni di pietra e rilegati in pelle;
HPitb1ch05-0402	lastrone	Comprarono i libri di testo per Harry in un negozio chiamato ‘Il Ghirigoro di Flourish & Blott’ dove gli scaffali erano stipati fino al soffitto di libri grossi come lastroni di pietra e rilegati in pelle;
HPitb1ch05-0403	rilegare	Comprarono i libri di testo per Harry in un negozio chiamato ‘Il Ghirigoro di Flourish & Blott’ dove gli scaffali erano stipati fino al soffitto di libri grossi come lastroni di pietra e rilegati in pelle;
HPitb1ch05-0404	foderare	libri delle dimensioni di un francobollo, foderati in seta;
HPitb1ch05-0405	seta	libri delle dimensioni di un francobollo, foderati in seta;
HPitb1ch05-0406	simbolo	libri pieni di simboli strani e alcuni con le pagine bianche.
HPitb1ch05-0407	pazzia	Anche Dudley, che non leggeva mai niente, avrebbe fatto pazzie per metterci le mani sopra.
HPitb1ch05-0408	stregare	Hagrid dovette quasi trascinare via Harry da Maledizioni e Contromaledizioni (Stregate gli amici e confondete i nemici con le vendette all’ultimo grido:
HPitb1ch05-0409	confondere	Hagrid dovette quasi trascinare via Harry da Maledizioni e Contromaledizioni (Stregate gli amici e confondete i nemici con le vendette all’ultimo grido:
HPitb1ch05-0410	nemico	Hagrid dovette quasi trascinare via Harry da Maledizioni e Contromaledizioni (Stregate gli amici e confondete i nemici con le vendette all’ultimo grido:
HPitb1ch05-0411	vendetta	Hagrid dovette quasi trascinare via Harry da Maledizioni e Contromaledizioni (Stregate gli amici e confondete i nemici con le vendette all’ultimo grido:
HPitb1ch05-0412	circostanza	«Non dico che non è una buona idea, ma nel mondo dei Babbani non devi usare la magia tranne che in circostanze speciali» disse Hagrid.
HPitb1ch05-0413	livello	devi studiare un mucchio per arrivare a quel livello».
HPitb1ch05-0414	massiccio	Hagrid non permise a Harry di comprare un calderone d’oro massiccio («Nella lista c’è scritto ‘peltro’»), ma acquistarono una bella bilancia per pesare gli ingredienti delle pozioni, e un telescopio pieghevole in ottone.
HPitb1ch05-0415	lista	Hagrid non permise a Harry di comprare un calderone d’oro massiccio («Nella lista c’è scritto ‘peltro’»), ma acquistarono una bella bilancia per pesare gli ingredienti delle pozioni, e un telescopio pieghevole in ottone.
HPitb1ch05-0416	ingrediente	Hagrid non permise a Harry di comprare un calderone d’oro massiccio («Nella lista c’è scritto ‘peltro’»), ma acquistarono una bella bilancia per pesare gli ingredienti delle pozioni, e un telescopio pieghevole in ottone.
HPitb1ch05-0417	ripagare	Poi andarono dallo speziale, luogo talmente interessante da ripagare del pessimo odore che vi regnava, un misto di uova marce e cavoli putridi.
HPitb1ch05-0418	pessimo	Poi andarono dallo speziale, luogo talmente interessante da ripagare del pessimo odore che vi regnava, un misto di uova marce e cavoli putridi.
HPitb1ch05-0419	regnare	Poi andarono dallo speziale, luogo talmente interessante da ripagare del pessimo odore che vi regnava, un misto di uova marce e cavoli putridi.
HPitb1ch05-0420	misto	Poi andarono dallo speziale, luogo talmente interessante da ripagare del pessimo odore che vi regnava, un misto di uova marce e cavoli putridi.
HPitb1ch05-0421	marcio	Poi andarono dallo speziale, luogo talmente interessante da ripagare del pessimo odore che vi regnava, un misto di uova marce e cavoli putridi.
HPitb1ch05-0422	putrido	Poi andarono dallo speziale, luogo talmente interessante da ripagare del pessimo odore che vi regnava, un misto di uova marce e cavoli putridi.
HPitb1ch05-0423	viscido	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
HPitb1ch05-0424	vaso	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
HPitb1ch05-0425	officinale	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
HPitb1ch05-0426	radice	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
HPitb1ch05-0427	polvere	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
HPitb1ch05-0428	brillante	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
HPitb1ch05-0429	allineare	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
HPitb1ch05-0430	fascio	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
HPitb1ch05-0431	piuma	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
HPitb1ch05-0432	zanna	Per terra c’erano barili di roba viscida; vasi di erbe officinali, radici secche e polveri dai colori brillanti erano allineati lungo le pareti; fasci di piume, di zanne e artigli aggrovigliati pendevano dal soffitto.
HPitb1ch05-0433	fondamentale	Mentre Hagrid chiedeva all’uomo dietro il bancone una provvista di certi ingredienti fondamentali per preparare pozioni, Harry esaminava alcuni corni argentati di unicorno, che costavano ventuno galeoni ciascuno, e minuscoli occhi di coleottero neri e lucenti (a cinque zellini la manciata).
HPitb1ch05-0434	corno	Mentre Hagrid chiedeva all’uomo dietro il bancone una provvista di certi ingredienti fondamentali per preparare pozioni, Harry esaminava alcuni corni argentati di unicorno, che costavano ventuno galeoni ciascuno, e minuscoli occhi di coleottero neri e lucenti (a cinque zellini la manciata).
HPitb1ch05-0435	argentato	Mentre Hagrid chiedeva all’uomo dietro il bancone una provvista di certi ingredienti fondamentali per preparare pozioni, Harry esaminava alcuni corni argentati di unicorno, che costavano ventuno galeoni ciascuno, e minuscoli occhi di coleottero neri e lucenti (a cinque zellini la manciata).
HPitb1ch05-0436	unicorno	Mentre Hagrid chiedeva all’uomo dietro il bancone una provvista di certi ingredienti fondamentali per preparare pozioni, Harry esaminava alcuni corni argentati di unicorno, che costavano ventuno galeoni ciascuno, e minuscoli occhi di coleottero neri e lucenti (a cinque zellini la manciata).
HPitb1ch05-0437	ventuno	Mentre Hagrid chiedeva all’uomo dietro il bancone una provvista di certi ingredienti fondamentali per preparare pozioni, Harry esaminava alcuni corni argentati di unicorno, che costavano ventuno galeoni ciascuno, e minuscoli occhi di coleottero neri e lucenti (a cinque zellini la manciata).
HPitb1ch05-0438	ciascuno	Mentre Hagrid chiedeva all’uomo dietro il bancone una provvista di certi ingredienti fondamentali per preparare pozioni, Harry esaminava alcuni corni argentati di unicorno, che costavano ventuno galeoni ciascuno, e minuscoli occhi di coleottero neri e lucenti (a cinque zellini la manciata).
HPitb1ch05-0439	minuscolo	Mentre Hagrid chiedeva all’uomo dietro il bancone una provvista di certi ingredienti fondamentali per preparare pozioni, Harry esaminava alcuni corni argentati di unicorno, che costavano ventuno galeoni ciascuno, e minuscoli occhi di coleottero neri e lucenti (a cinque zellini la manciata).
HPitb1ch05-0440	coleottero	Mentre Hagrid chiedeva all’uomo dietro il bancone una provvista di certi ingredienti fondamentali per preparare pozioni, Harry esaminava alcuni corni argentati di unicorno, che costavano ventuno galeoni ciascuno, e minuscoli occhi di coleottero neri e lucenti (a cinque zellini la manciata).
HPitb1ch05-0441	starnutire	Non un rospo, i rospi sono passati di moda anni fa, ti riderebbero dietro... e i gatti non mi piacciono, mi fanno starnutire.
HPitb1ch05-0442	locale	Venti minuti dopo, uscivano dall’Emporio del Gufo, un locale buio, pieno di animali che raspavano e frullavano in aria, con gli occhi luccicanti come gemme preziose.
HPitb1ch05-0443	frullare	Venti minuti dopo, uscivano dall’Emporio del Gufo, un locale buio, pieno di animali che raspavano e frullavano in aria, con gli occhi luccicanti come gemme preziose.
HPitb1ch05-0444	gemma	Venti minuti dopo, uscivano dall’Emporio del Gufo, un locale buio, pieno di animali che raspavano e frullavano in aria, con gli occhi luccicanti come gemme preziose.
HPitb1ch05-0445	trasportare	Ora Harry trasportava una grossa gabbia che conteneva una bella civetta bianca come la neve, profondamente addormentata con la testa sotto l’ala.
HPitb1ch05-0446	ringraziamento	Non riusciva a smettere di balbettare ringraziamenti, tanto che sembrava il professor Quirrell.
HPitb1ch05-0447	angusto	Quest’ultimo negozio era angusto e trasandato.
HPitb1ch05-0448	trasandato	Quest’ultimo negozio era angusto e trasandato.
HPitb1ch05-0449	scortecciare	Un’insegna a lettere d’oro scortecciate sopra la porta diceva:
HPitb1ch05-0450	fabbrica	‘Ollivander: fabbrica di bacchette di qualità superiore dal 382 a.C.’ Nella vetrina polverosa, su un cuscino color porpora stinto, era esposta una sola bacchetta.
HPitb1ch05-0451	qualità	‘Ollivander: fabbrica di bacchette di qualità superiore dal 382 a.C.’ Nella vetrina polverosa, su un cuscino color porpora stinto, era esposta una sola bacchetta.
HPitb1ch05-0452	superiore	‘Ollivander: fabbrica di bacchette di qualità superiore dal 382 a.C.’ Nella vetrina polverosa, su un cuscino color porpora stinto, era esposta una sola bacchetta.
HPitb1ch05-0453	polveroso	‘Ollivander: fabbrica di bacchette di qualità superiore dal 382 a.C.’ Nella vetrina polverosa, su un cuscino color porpora stinto, era esposta una sola bacchetta.
HPitb1ch05-0454	cuscino	‘Ollivander: fabbrica di bacchette di qualità superiore dal 382 a.C.’ Nella vetrina polverosa, su un cuscino color porpora stinto, era esposta una sola bacchetta.
HPitb1ch05-0455	stinto	‘Ollivander: fabbrica di bacchette di qualità superiore dal 382 a.C.’ Nella vetrina polverosa, su un cuscino color porpora stinto, era esposta una sola bacchetta.
HPitb1ch05-0456	scampanellio	Un lieve scampanellio, proveniente da anfratti non meglio identificati del negozio, accolse il loro ingresso.
HPitb1ch05-0457	anfratto	Un lieve scampanellio, proveniente da anfratti non meglio identificati del negozio, accolse il loro ingresso.
HPitb1ch05-0458	identificare	Un lieve scampanellio, proveniente da anfratti non meglio identificati del negozio, accolse il loro ingresso.
HPitb1ch05-0459	accogliere	Un lieve scampanellio, proveniente da anfratti non meglio identificati del negozio, accolse il loro ingresso.
HPitb1ch05-0460	malfermo	Era un luogo minuscolo, vuoto, tranne che per una sedia malferma su cui Hagrid si sedette, nell’attesa.
HPitb1ch05-0461	migliaio	Ricacciò via un mucchio di nuove domande che gli erano appena venute in mente e si mise a osservare le migliaia di scatoline strette strette, tutte impilate in bell’ordine fino al soffitto.
HPitb1ch05-0462	impilare	Ricacciò via un mucchio di nuove domande che gli erano appena venute in mente e si mise a osservare le migliaia di scatoline strette strette, tutte impilate in bell’ordine fino al soffitto.
HPitb1ch05-0463	pizzicore	Chissà perché, sentiva un pizzicore alla nuca.
HPitb1ch05-0464	fremere	Persino la polvere e il silenzio di quel luogo sembravano fremere di una segreta magia.
HPitb1ch05-0465	scolorato	Avevano di fronte un uomo anziano con occhi grandi e scoloriti che rilucevano nella penombra del negozio come due astri lunari.
HPitb1ch05-0466	rilucere	Avevano di fronte un uomo anziano con occhi grandi e scoloriti che rilucevano nella penombra del negozio come due astri lunari.
HPitb1ch05-0467	penombra	Avevano di fronte un uomo anziano con occhi grandi e scoloriti che rilucevano nella penombra del negozio come due astri lunari.
HPitb1ch05-0468	astro	Avevano di fronte un uomo anziano con occhi grandi e scoloriti che rilucevano nella penombra del negozio come due astri lunari.
HPitb1ch05-0469	salve	«Salve» disse Harry imbarazzato.
HPitb1ch05-0470	imbarazzato	«Salve» disse Harry imbarazzato.
HPitb1ch05-0471	conoscenza	«Sì, sì, sì, ero sicuro che avrei fatto presto la sua conoscenza.
HPitb1ch05-0472	pollice	Lunga dieci pollici e un quarto, sibilante, di salice.
HPitb1ch05-0473	quarto	Lunga dieci pollici e un quarto, sibilante, di salice.
HPitb1ch05-0474	salice	Lunga dieci pollici e un quarto, sibilante, di salice.
HPitb1ch05-0475	incanto	Una bella bacchetta, lavorava d’incanto».
HPitb1ch05-0476	mogano	«Suo padre, invece, preferì una bacchetta di mogano.
HPitb1ch05-0477	flessibile	Flessibile.
HPitb1ch05-0478	riflesso	Ollivander si era fatto talmente vicino da toccare quasi il naso di Harry, che si vedeva riflesso in quegli occhi velati.
HPitb1ch05-0479	velato	Ollivander si era fatto talmente vicino da toccare quasi il naso di Harry, che si vedeva riflesso in quegli occhi velati.
HPitb1ch05-0480	tredici	«Tredici pollici e mezzo.
HPitb1ch05-0481	sbagliato	Una bacchetta potente, molto potente, e nelle mani sbagliate...
HPitb1ch05-0482	quercia	Quercia, sedici pollici, piuttosto flessibile;
HPitb1ch05-0483	azzeccare	» «Azzeccato, signore» disse Hagrid.
HPitb1ch05-0484	aggiungere	«Però conservo ancora le due metà» aggiunse vivacemente.
HPitb1ch05-0485	vivacemente	«Però conservo ancora le due metà» aggiunse vivacemente.
HPitb1ch05-0486	inquisitorio	«Ma non le usi, vero?» chiese Ollivander con fare inquisitorio.
HPitb1ch05-0487	metro	«Allora, signor Potter, vediamo un po’» e tirò fuori dalla tasca un lungo metro a nastro con le tacche d’argento.
HPitb1ch05-0488	tacca	«Allora, signor Potter, vediamo un po’» e tirò fuori dalla tasca un lungo metro a nastro con le tacche d’argento.
HPitb1ch05-0489	alzare	«Alzi il braccio.
HPitb1ch05-0490	gomito	Misurò il braccio di Harry dalla spalla alla punta delle dita, poi dal polso al gomito, dalla spalla a terra, dal ginocchio all’ascella e poi prese anche la circonferenza della testa.
HPitb1ch05-0491	ascella	Misurò il braccio di Harry dalla spalla alla punta delle dita, poi dal polso al gomito, dalla spalla a terra, dal ginocchio all’ascella e poi prese anche la circonferenza della testa.
HPitb1ch05-0492	circonferenza	Misurò il braccio di Harry dalla spalla alla punta delle dita, poi dal polso al gomito, dalla spalla a terra, dal ginocchio all’ascella e poi prese anche la circonferenza della testa.
HPitb1ch05-0493	nucleo	«Ogni bacchetta Ollivander ha il nucleo fatto di una potente sostanza magica, signor Potter.
HPitb1ch05-0494	sostanza	«Ogni bacchetta Ollivander ha il nucleo fatto di una potente sostanza magica, signor Potter.
HPitb1ch05-0495	crine	Usiamo crini di unicorno, piume della coda della fenice e corde del cuore di drago.
HPitb1ch05-0496	fenice	Usiamo crini di unicorno, piume della coda della fenice e corde del cuore di drago.
HPitb1ch05-0497	corda	Usiamo crini di unicorno, piume della coda della fenice e corde del cuore di drago.
HPitb1ch05-0498	risultato	E naturalmente, non si ottengono mai risultati altrettanto buoni con la bacchetta di un altro mago».
HPitb1ch05-0499	narice	All’improvviso, Harry si accorse che il metro a nastro, che gli stava misurando la distanza fra le narici, stava facendo tutto da solo.
HPitb1ch05-0500	volteggiare	Ollivander, infatti, volteggiava tra gli scaffali, tirando giù scatole.
HPitb1ch05-0501	afflosciarsi	«Può bastare così» disse, e il metro a nastro si afflosciò sul pavimento.
HPitb1ch05-0502	faggio	Legno di faggio e corde di cuore di drago.
HPitb1ch05-0503	bella	Bella flessibile.
HPitb1ch05-0504	agitare	La prenda e la agiti in aria».
HPitb1ch05-0505	debolmente	Harry prese la bacchetta e, sentendosi un po’ sciocco, la agitò debolmente, ma Ollivander gliela strappò quasi subito di mano.
HPitb1ch05-0506	acero	«Acero e piume di fenice.
HPitb1ch05-0507	ebano	«No, no... ecco, ebano e crini di unicorno, otto pollici e mezzo, elastica.
HPitb1ch05-0508	elastico	«No, no... ecco, ebano e crini di unicorno, otto pollici e mezzo, elastica.
HPitb1ch05-0509	ammucchiare	Le bacchette si stavano ammucchiando sulla sedia, ma più Ollivander ne tirava fuori dagli scaffali, più sembrava felice.
HPitb1ch05-0510	cliente	«Un cliente difficile, eh?
HPitb1ch05-0511	pennello	No, niente paura, troveremo quella che va a pennello...
HPitb1ch05-0512	agrifoglio	Ora, mi chiedo... sì, perché no... combinazione insolita... agrifoglio e piume di fenice, undici pollici, bella flessibile».
HPitb1ch05-0513	abbassare	La alzò sopra la testa, la abbassò sferzando l’aria polverosa e una scia di scintille rosse e oro si sprigionò dall’estremità come un fuoco d’artificio, proiettando sulle pareti minuscoli riflessi danzanti di luce.
HPitb1ch05-0514	scia	La alzò sopra la testa, la abbassò sferzando l’aria polverosa e una scia di scintille rosse e oro si sprigionò dall’estremità come un fuoco d’artificio, proiettando sulle pareti minuscoli riflessi danzanti di luce.
HPitb1ch05-0515	scintilla	La alzò sopra la testa, la abbassò sferzando l’aria polverosa e una scia di scintille rosse e oro si sprigionò dall’estremità come un fuoco d’artificio, proiettando sulle pareti minuscoli riflessi danzanti di luce.
HPitb1ch05-0516	sprigionarsi	La alzò sopra la testa, la abbassò sferzando l’aria polverosa e una scia di scintille rosse e oro si sprigionò dall’estremità come un fuoco d’artificio, proiettando sulle pareti minuscoli riflessi danzanti di luce.
HPitb1ch05-0517	proiettare	La alzò sopra la testa, la abbassò sferzando l’aria polverosa e una scia di scintille rosse e oro si sprigionò dall’estremità come un fuoco d’artificio, proiettando sulle pareti minuscoli riflessi danzanti di luce.
HPitb1ch05-0518	danzante	La alzò sopra la testa, la abbassò sferzando l’aria polverosa e una scia di scintille rosse e oro si sprigionò dall’estremità come un fuoco d’artificio, proiettando sulle pareti minuscoli riflessi danzanti di luce.
HPitb1ch05-0519	entusiasmo	Hagrid gridò d’entusiasmo e batté le mani e Ollivander esclamò:
HPitb1ch05-0520	sbiadito	«Scusi» fece Harry, «ma che cosa c’è di strano?» Ollivander lo fissò con i suoi occhi sbiaditi.
HPitb1ch05-0521	destinare	È veramente molto strano che lei sia destinato a questa bacchetta, visto che la sua gemella... sì, la sua gemella le ha procurato quella cicatrice».
HPitb1ch05-0522	gemello	È veramente molto strano che lei sia destinato a questa bacchetta, visto che la sua gemella... sì, la sua gemella le ha procurato quella cicatrice».
HPitb1ch05-0523	procurare	È veramente molto strano che lei sia destinato a questa bacchetta, visto che la sua gemella... sì, la sua gemella le ha procurato quella cicatrice».
HPitb1ch05-0524	curioso	Curioso come accadano queste cose.
HPitb1ch05-0525	avanzato	Era ormai pomeriggio avanzato e il sole era basso all’orizzonte quando Harry e Hagrid si misero sulla via del ritorno ripercorrendo Diagon Alley e riattraversarono il muro fino al Paiolo Magico, ormai deserto.
HPitb1ch05-0526	orizzonte	Era ormai pomeriggio avanzato e il sole era basso all’orizzonte quando Harry e Hagrid si misero sulla via del ritorno ripercorrendo Diagon Alley e riattraversarono il muro fino al Paiolo Magico, ormai deserto.
HPitb1ch05-0527	ripercorrere	Era ormai pomeriggio avanzato e il sole era basso all’orizzonte quando Harry e Hagrid si misero sulla via del ritorno ripercorrendo Diagon Alley e riattraversarono il muro fino al Paiolo Magico, ormai deserto.
HPitb1ch05-0528	riattraversare	Era ormai pomeriggio avanzato e il sole era basso all’orizzonte quando Harry e Hagrid si misero sulla via del ritorno ripercorrendo Diagon Alley e riattraversarono il muro fino al Paiolo Magico, ormai deserto.
HPitb1ch05-0529	deserto	Era ormai pomeriggio avanzato e il sole era basso all’orizzonte quando Harry e Hagrid si misero sulla via del ritorno ripercorrendo Diagon Alley e riattraversarono il muro fino al Paiolo Magico, ormai deserto.
HPitb1ch05-0530	carico	non notò nemmeno quanta gente li guardasse a bocca aperta, in metropolitana, carichi com’erano di tutti quei pacchi dalle forme bizzarre e con la civetta candida addormentata sulle ginocchia.
HPitb1ch05-0531	boccone	«C’è tempo per un boccone, prima del tuo treno» disse.
HPitb1ch05-0532	panchina	Gli comprò un hamburger e si sedettero a mangiare su panchine di plastica.
HPitb1ch05-0533	plastica	Gli comprò un hamburger e si sedettero a mangiare su panchine di plastica.
HPitb1ch05-0534	zitto	Te ne stai così zitto» disse Hagrid.
HPitb1ch05-0535	spiegarsi	Harry non era sicuro di riuscire a spiegarsi.
HPitb1ch05-0536	capolino	Dietro la barba incolta e le folte sopracciglia faceva capolino un sorriso pieno di gentilezza.
HPitb1ch05-0537	gentilezza	Dietro la barba incolta e le folte sopracciglia faceva capolino un sorriso pieno di gentilezza.
HPitb1ch05-0538	base	A Hogwarts tutti cominciano dalle basi.
HPitb1ch05-0539	riportare	Hagrid aiutò il ragazzo a salire sul treno che lo avrebbe riportato dai Dursley, e poi gli porse una busta.
HPitb1ch05-0540	spedire	Se hai problemi con i Dursley, spediscimi una lettera con la tua civetta, lei saprà dove trovarmi... A presto, Harry».
HPitb1ch05-0541	finestrino	si alzò in piedi sul sedile e schiacciò il naso contro il finestrino, ma non fece in tempo a battere le palpebre che Hagrid era sparito.
