capitolo          	capitolo          	CAPITOLO
niente            	niente            	L’ometto però non sembrava per niente offeso dal fatto di essere stato quasi scaraventato a terra.
offeso            	offeso            	L’ometto però non sembrava per niente offeso dal fatto di essere stato quasi scaraventato a terra.
fatto             	fatto             	L’ometto però non sembrava per niente offeso dal fatto di essere stato quasi scaraventato a terra.
scaraventato      	scaraventare      	L’ometto però non sembrava per niente offeso dal fatto di essere stato quasi scaraventato a terra.
terra             	terra             	L’ometto però non sembrava per niente offeso dal fatto di essere stato quasi scaraventato a terra.
contrario         	contrario         	Al contrario, un largo sorriso gli illuminò il volto e con una vocina stridula che destò l’attenzione dei passanti disse:
largo             	largo             	Al contrario, un largo sorriso gli illuminò il volto e con una vocina stridula che destò l’attenzione dei passanti disse:
sorriso           	sorriso           	Al contrario, un largo sorriso gli illuminò il volto e con una vocina stridula che destò l’attenzione dei passanti disse:
illuminò          	illuminare        	Al contrario, un largo sorriso gli illuminò il volto e con una vocina stridula che destò l’attenzione dei passanti disse:
volto             	volto             	Al contrario, un largo sorriso gli illuminò il volto e con una vocina stridula che destò l’attenzione dei passanti disse:
vocina            	voce              	Al contrario, un largo sorriso gli illuminò il volto e con una vocina stridula che destò l’attenzione dei passanti disse:
stridula          	stridulo          	Al contrario, un largo sorriso gli illuminò il volto e con una vocina stridula che destò l’attenzione dei passanti disse:
destò             	destare           	Al contrario, un largo sorriso gli illuminò il volto e con una vocina stridula che destò l’attenzione dei passanti disse:
attenzione        	attenzione        	Al contrario, un largo sorriso gli illuminò il volto e con una vocina stridula che destò l’attenzione dei passanti disse:
passanti          	passante          	Al contrario, un largo sorriso gli illuminò il volto e con una vocina stridula che destò l’attenzione dei passanti disse:
scusi             	scusarsi          	«Non si scusi, mio caro signore, perché oggi non c’è niente che possa turbarmi!
mio               	mio               	«Non si scusi, mio caro signore, perché oggi non c’è niente che possa turbarmi!
caro              	caro              	«Non si scusi, mio caro signore, perché oggi non c’è niente che possa turbarmi!
oggi              	oggi              	«Non si scusi, mio caro signore, perché oggi non c’è niente che possa turbarmi!
turbarmi          	turbare           	«Non si scusi, mio caro signore, perché oggi non c’è niente che possa turbarmi!
rallegri          	rallegrarsi       	Si rallegri, perché Lei-Sa-Chi finalmente se n’è andato!
finalmente        	finalmente        	Si rallegri, perché Lei-Sa-Chi finalmente se n’è andato!
lei               	lei               	Anche i Babbani come lei dovrebbero festeggiare questo felice, felicissimo giorno!» A quel punto, il vecchietto abbracciò il signor Dursley cingendolo alla vita e poi si allontanò.
festeggiare       	festeggiare       	Anche i Babbani come lei dovrebbero festeggiare questo felice, felicissimo giorno!» A quel punto, il vecchietto abbracciò il signor Dursley cingendolo alla vita e poi si allontanò.
felice            	felice            	Anche i Babbani come lei dovrebbero festeggiare questo felice, felicissimo giorno!» A quel punto, il vecchietto abbracciò il signor Dursley cingendolo alla vita e poi si allontanò.
vecchietto        	vecchio           	Anche i Babbani come lei dovrebbero festeggiare questo felice, felicissimo giorno!» A quel punto, il vecchietto abbracciò il signor Dursley cingendolo alla vita e poi si allontanò.
abbracciò         	abbracciare       	Anche i Babbani come lei dovrebbero festeggiare questo felice, felicissimo giorno!» A quel punto, il vecchietto abbracciò il signor Dursley cingendolo alla vita e poi si allontanò.
cingendolo        	cingere           	Anche i Babbani come lei dovrebbero festeggiare questo felice, felicissimo giorno!» A quel punto, il vecchietto abbracciò il signor Dursley cingendolo alla vita e poi si allontanò.
vita              	vita              	Anche i Babbani come lei dovrebbero festeggiare questo felice, felicissimo giorno!» A quel punto, il vecchietto abbracciò il signor Dursley cingendolo alla vita e poi si allontanò.
rimase            	rimanere          	Il signor Dursley rimase lì impalato.
impalato          	impalato          	Il signor Dursley rimase lì impalato.
perfetto          	perfetto          	Era stato abbracciato da un perfetto sconosciuto.
sconosciuto       	sconosciuto       	Era stato abbracciato da un perfetto sconosciuto.
tale              	tale              	Poi pensò che quel tale lo aveva chiamato ‘Babbano’, qualsiasi cosa volesse dire.
qualsiasi         	qualsiasi         	Poi pensò che quel tale lo aveva chiamato ‘Babbano’, qualsiasi cosa volesse dire.
esterrefatto      	esterrefatto      	Era esterrefatto.
affrettò          	affrettarsi       	Si affrettò a raggiungere la macchina e partì alla volta di casa, sperando di aver lavorato di fantasia, cosa che non aveva mai sperato prima perché non approvava le fantasie.
partì             	partire           	Si affrettò a raggiungere la macchina e partì alla volta di casa, sperando di aver lavorato di fantasia, cosa che non aveva mai sperato prima perché non approvava le fantasie.
lavorato          	lavorare          	Si affrettò a raggiungere la macchina e partì alla volta di casa, sperando di aver lavorato di fantasia, cosa che non aveva mai sperato prima perché non approvava le fantasie.
fantasia          	fantasia          	Si affrettò a raggiungere la macchina e partì alla volta di casa, sperando di aver lavorato di fantasia, cosa che non aveva mai sperato prima perché non approvava le fantasie.
prima             	prima             	Si affrettò a raggiungere la macchina e partì alla volta di casa, sperando di aver lavorato di fantasia, cosa che non aveva mai sperato prima perché non approvava le fantasie.
imboccato         	imboccare         	Non appena ebbe imboccato il vialetto del numero 4 di Privet Drive, la prima cosa che scorse – e che certo non contribuì a migliorare il suo umore – fu il gatto soriano che aveva visto la mattina.
scorse            	scorgere          	Non appena ebbe imboccato il vialetto del numero 4 di Privet Drive, la prima cosa che scorse – e che certo non contribuì a migliorare il suo umore – fu il gatto soriano che aveva visto la mattina.
contribuì         	contribuire       	Non appena ebbe imboccato il vialetto del numero 4 di Privet Drive, la prima cosa che scorse – e che certo non contribuì a migliorare il suo umore – fu il gatto soriano che aveva visto la mattina.
migliorare        	migliorare        	Non appena ebbe imboccato il vialetto del numero 4 di Privet Drive, la prima cosa che scorse – e che certo non contribuì a migliorare il suo umore – fu il gatto soriano che aveva visto la mattina.
cinta             	cinta             	Seduto sul muro di cinta del giardino.
assolutamente     	assolutamente     	Era assolutamente certo che fosse lo stesso:
stesso            	stesso            	Era assolutamente certo che fosse lo stesso:
segni             	segno             	i segni intorno agli occhi erano identici.
intorno           	intorno           	i segni intorno agli occhi erano identici.
identici          	identico          	i segni intorno agli occhi erano identici.
gridò             	gridare           	«Sciò!» gli gridò il signor Dursley.
mosse             	muoversi          	Il gatto non si mosse.
limitò            	limitarsi         	Si limitò a fissarlo con sguardo severo.
severo            	severo            	Si limitò a fissarlo con sguardo severo.
chiese            	chiedere          	Il signor Dursley si chiese se normalmente i gatti si comportassero così.
normalmente       	normalmente       	Il signor Dursley si chiese se normalmente i gatti si comportassero così.
comportassero     	comportarsi       	Il signor Dursley si chiese se normalmente i gatti si comportassero così.
cercando          	cercare           	Cercando di riprendersi, entrò in casa.
riprendersi       	riprendersi       	Cercando di riprendersi, entrò in casa.
entrò             	entrare           	Cercando di riprendersi, entrò in casa.
giornata          	giornata          	La signora Dursley aveva passato una buona giornata, in tutto e per tutto normale.
cena              	cena              	A cena, gli raccontò per filo e per segno i guai che la signora Della-Porta-Accanto aveva con la figlia, e poi che Dudley aveva imparato una nuova frase:
raccontò          	raccontare        	A cena, gli raccontò per filo e per segno i guai che la signora Della-Porta-Accanto aveva con la figlia, e poi che Dudley aveva imparato una nuova frase:
filo              	filo              	A cena, gli raccontò per filo e per segno i guai che la signora Della-Porta-Accanto aveva con la figlia, e poi che Dudley aveva imparato una nuova frase:
guai              	guaio             	A cena, gli raccontò per filo e per segno i guai che la signora Della-Porta-Accanto aveva con la figlia, e poi che Dudley aveva imparato una nuova frase:
figlia            	figlia            	A cena, gli raccontò per filo e per segno i guai che la signora Della-Porta-Accanto aveva con la figlia, e poi che Dudley aveva imparato una nuova frase:
imparato          	imparare          	A cena, gli raccontò per filo e per segno i guai che la signora Della-Porta-Accanto aveva con la figlia, e poi che Dudley aveva imparato una nuova frase:
frase             	frase             	A cena, gli raccontò per filo e per segno i guai che la signora Della-Porta-Accanto aveva con la figlia, e poi che Dudley aveva imparato una nuova frase:
letto             	letto             	Una volta messo a letto Dudley, se ne andò nel soggiorno appena in tempo per sentire l’ultimo telegiornale.
soggiorno         	soggiorno         	Una volta messo a letto Dudley, se ne andò nel soggiorno appena in tempo per sentire l’ultimo telegiornale.
telegiornale      	telegiornale      	Una volta messo a letto Dudley, se ne andò nel soggiorno appena in tempo per sentire l’ultimo telegiornale.
infine            	infine            	«E infine, da tutte le postazioni gli avvistatori di uccelli riferiscono che oggi, sull’intero territorio nazionale, i gufi hanno manifestato un comportamento molto insolito.
postazioni        	postazione        	«E infine, da tutte le postazioni gli avvistatori di uccelli riferiscono che oggi, sull’intero territorio nazionale, i gufi hanno manifestato un comportamento molto insolito.
avvistatori       	avvisatore        	«E infine, da tutte le postazioni gli avvistatori di uccelli riferiscono che oggi, sull’intero territorio nazionale, i gufi hanno manifestato un comportamento molto insolito.
uccelli           	uccello           	«E infine, da tutte le postazioni gli avvistatori di uccelli riferiscono che oggi, sull’intero territorio nazionale, i gufi hanno manifestato un comportamento molto insolito.
riferiscono       	riferire          	«E infine, da tutte le postazioni gli avvistatori di uccelli riferiscono che oggi, sull’intero territorio nazionale, i gufi hanno manifestato un comportamento molto insolito.
intero            	intero            	«E infine, da tutte le postazioni gli avvistatori di uccelli riferiscono che oggi, sull’intero territorio nazionale, i gufi hanno manifestato un comportamento molto insolito.
territorio        	territorio        	«E infine, da tutte le postazioni gli avvistatori di uccelli riferiscono che oggi, sull’intero territorio nazionale, i gufi hanno manifestato un comportamento molto insolito.
nazionale         	nazionale         	«E infine, da tutte le postazioni gli avvistatori di uccelli riferiscono che oggi, sull’intero territorio nazionale, i gufi hanno manifestato un comportamento molto insolito.
manifestato       	manifestare       	«E infine, da tutte le postazioni gli avvistatori di uccelli riferiscono che oggi, sull’intero territorio nazionale, i gufi hanno manifestato un comportamento molto insolito.
comportamento     	comportamento     	«E infine, da tutte le postazioni gli avvistatori di uccelli riferiscono che oggi, sull’intero territorio nazionale, i gufi hanno manifestato un comportamento molto insolito.
sebbene           	sebbene           	Sebbene normalmente escano di notte a caccia di prede e ben di rado vengano avvistati di giorno, fin dall’alba sono stati segnalati centinaia di gufi che volavano in tutte le direzioni.
caccia            	caccia            	Sebbene normalmente escano di notte a caccia di prede e ben di rado vengano avvistati di giorno, fin dall’alba sono stati segnalati centinaia di gufi che volavano in tutte le direzioni.
ben               	bene              	Sebbene normalmente escano di notte a caccia di prede e ben di rado vengano avvistati di giorno, fin dall’alba sono stati segnalati centinaia di gufi che volavano in tutte le direzioni.
rado              	rado              	Sebbene normalmente escano di notte a caccia di prede e ben di rado vengano avvistati di giorno, fin dall’alba sono stati segnalati centinaia di gufi che volavano in tutte le direzioni.
avvistati         	avvistare         	Sebbene normalmente escano di notte a caccia di prede e ben di rado vengano avvistati di giorno, fin dall’alba sono stati segnalati centinaia di gufi che volavano in tutte le direzioni.
alba              	alba              	Sebbene normalmente escano di notte a caccia di prede e ben di rado vengano avvistati di giorno, fin dall’alba sono stati segnalati centinaia di gufi che volavano in tutte le direzioni.
segnalati         	segnalare         	Sebbene normalmente escano di notte a caccia di prede e ben di rado vengano avvistati di giorno, fin dall’alba sono stati segnalati centinaia di gufi che volavano in tutte le direzioni.
centinaia         	centinaio         	Sebbene normalmente escano di notte a caccia di prede e ben di rado vengano avvistati di giorno, fin dall’alba sono stati segnalati centinaia di gufi che volavano in tutte le direzioni.
direzioni         	direzione         	Sebbene normalmente escano di notte a caccia di prede e ben di rado vengano avvistati di giorno, fin dall’alba sono stati segnalati centinaia di gufi che volavano in tutte le direzioni.
esperti           	esperto           	Gli esperti non sanno spiegare perché, tutt’a un tratto, i gufi abbiano modificato il loro ritmo sonno/veglia».
spiegare          	spiegare          	Gli esperti non sanno spiegare perché, tutt’a un tratto, i gufi abbiano modificato il loro ritmo sonno/veglia».
modificato        	modificare        	Gli esperti non sanno spiegare perché, tutt’a un tratto, i gufi abbiano modificato il loro ritmo sonno/veglia».
ritmo             	ritmo             	Gli esperti non sanno spiegare perché, tutt’a un tratto, i gufi abbiano modificato il loro ritmo sonno/veglia».
sonno             	sonno             	Gli esperti non sanno spiegare perché, tutt’a un tratto, i gufi abbiano modificato il loro ritmo sonno/veglia».
veglia            	veglia            	Gli esperti non sanno spiegare perché, tutt’a un tratto, i gufi abbiano modificato il loro ritmo sonno/veglia».
speaker           	speaker           	Lo speaker si lasciò scappare una risatina.
scappare          	scappare          	Lo speaker si lasciò scappare una risatina.
risatina          	risata            	Lo speaker si lasciò scappare una risatina.
parola            	parola            	E ora, la parola a Jim McGuffin per le previsioni del tempo.
previsioni        	previsione        	E ora, la parola a Jim McGuffin per le previsioni del tempo.
prevedono         	prevedere         	Si prevedono altri scrosci di gufi, stanotte, Jim?
scrosci           	scroscio          	Si prevedono altri scrosci di gufi, stanotte, Jim?
stanotte          	stanotte          	Si prevedono altri scrosci di gufi, stanotte, Jim?
francamente       	francamente       	» «Francamente, Ted» rispose il meteorologo, «su questo non so dirti niente, ma quest’oggi non sono stati soltanto i gufi a comportarsi in modo strano.
rispose           	rispondere        	» «Francamente, Ted» rispose il meteorologo, «su questo non so dirti niente, ma quest’oggi non sono stati soltanto i gufi a comportarsi in modo strano.
meteorologo       	meteorologo       	» «Francamente, Ted» rispose il meteorologo, «su questo non so dirti niente, ma quest’oggi non sono stati soltanto i gufi a comportarsi in modo strano.
soltanto          	soltanto          	» «Francamente, Ted» rispose il meteorologo, «su questo non so dirti niente, ma quest’oggi non sono stati soltanto i gufi a comportarsi in modo strano.
osservatori       	osservatore       	Gli osservatori di località distanti fra loro come il Kent, lo Yorkshire e Dundee mi hanno telefonato per informarmi che, al posto della pioggia che avevo promesso ieri, hanno avuto un diluvio di stelle cadenti.
località          	località          	Gli osservatori di località distanti fra loro come il Kent, lo Yorkshire e Dundee mi hanno telefonato per informarmi che, al posto della pioggia che avevo promesso ieri, hanno avuto un diluvio di stelle cadenti.
distanti          	distante          	Gli osservatori di località distanti fra loro come il Kent, lo Yorkshire e Dundee mi hanno telefonato per informarmi che, al posto della pioggia che avevo promesso ieri, hanno avuto un diluvio di stelle cadenti.
fra               	fra               	Gli osservatori di località distanti fra loro come il Kent, lo Yorkshire e Dundee mi hanno telefonato per informarmi che, al posto della pioggia che avevo promesso ieri, hanno avuto un diluvio di stelle cadenti.
mi                	mi                	Gli osservatori di località distanti fra loro come il Kent, lo Yorkshire e Dundee mi hanno telefonato per informarmi che, al posto della pioggia che avevo promesso ieri, hanno avuto un diluvio di stelle cadenti.
telefonato        	telefonare        	Gli osservatori di località distanti fra loro come il Kent, lo Yorkshire e Dundee mi hanno telefonato per informarmi che, al posto della pioggia che avevo promesso ieri, hanno avuto un diluvio di stelle cadenti.
informarmi        	informare         	Gli osservatori di località distanti fra loro come il Kent, lo Yorkshire e Dundee mi hanno telefonato per informarmi che, al posto della pioggia che avevo promesso ieri, hanno avuto un diluvio di stelle cadenti.
posto             	posto             	Gli osservatori di località distanti fra loro come il Kent, lo Yorkshire e Dundee mi hanno telefonato per informarmi che, al posto della pioggia che avevo promesso ieri, hanno avuto un diluvio di stelle cadenti.
pioggia           	pioggia           	Gli osservatori di località distanti fra loro come il Kent, lo Yorkshire e Dundee mi hanno telefonato per informarmi che, al posto della pioggia che avevo promesso ieri, hanno avuto un diluvio di stelle cadenti.
promesso          	promettere        	Gli osservatori di località distanti fra loro come il Kent, lo Yorkshire e Dundee mi hanno telefonato per informarmi che, al posto della pioggia che avevo promesso ieri, hanno avuto un diluvio di stelle cadenti.
ieri              	ieri              	Gli osservatori di località distanti fra loro come il Kent, lo Yorkshire e Dundee mi hanno telefonato per informarmi che, al posto della pioggia che avevo promesso ieri, hanno avuto un diluvio di stelle cadenti.
diluvio           	diluvio           	Gli osservatori di località distanti fra loro come il Kent, lo Yorkshire e Dundee mi hanno telefonato per informarmi che, al posto della pioggia che avevo promesso ieri, hanno avuto un diluvio di stelle cadenti.
stelle            	stella            	Gli osservatori di località distanti fra loro come il Kent, lo Yorkshire e Dundee mi hanno telefonato per informarmi che, al posto della pioggia che avevo promesso ieri, hanno avuto un diluvio di stelle cadenti.
cadenti           	cadente           	Gli osservatori di località distanti fra loro come il Kent, lo Yorkshire e Dundee mi hanno telefonato per informarmi che, al posto della pioggia che avevo promesso ieri, hanno avuto un diluvio di stelle cadenti.
chissà            	chissà            	Chissà?
forse             	forse             	Forse si è festeggiata in anticipo la Notte dei falò.
anticipo          	anticipo          	Forse si è festeggiata in anticipo la Notte dei falò.
falò              	falò              	Forse si è festeggiata in anticipo la Notte dei falò.
tra               	tra               	Ma, gente, la Notte dei falò è soltanto tra una settimana!
settimana         	settimana         	Ma, gente, la Notte dei falò è soltanto tra una settimana!
comunque          	comunque          	Comunque, posso assicurare che stanotte pioverà».
assicurare        	assicurare        	Comunque, posso assicurare che stanotte pioverà».
pioverà           	piovere           	Comunque, posso assicurare che stanotte pioverà».
poltrona          	poltrona          	Il signor Dursley rimase seduto in poltrona, come paralizzato.
paralizzato       	paralizzato       	Il signor Dursley rimase seduto in poltrona, come paralizzato.
bretagna          	Bretagna          	Stelle cadenti in tutta la Gran Bretagna?
aggira            	aggirarsi         	Gente misteriosa che si aggira dappertutto avvolta in mantelli?
dappertutto       	dappertutto       	Gente misteriosa che si aggira dappertutto avvolta in mantelli?
bisbigli          	bisbiglio         	E quelle voci, quei bisbigli sui Potter... La signora Dursley entrò in soggiorno portando due tazze di tè.
tazze             	tazza             	E quelle voci, quei bisbigli sui Potter... La signora Dursley entrò in soggiorno portando due tazze di tè.
tè                	tè|te_2           	E quelle voci, quei bisbigli sui Potter... La signora Dursley entrò in soggiorno portando due tazze di tè.
schiarì           	schiarire         	Si schiarì nervosamente la voce.
nervosamente      	nervosamente      	Si schiarì nervosamente la voce.
petunia           	petunia           	«Ehm, Petunia, mia cara... non è che per caso hai sentito tua sorella, ultimamente?» Come aveva previsto, la signora Dursley assunse un’aria esterrefatta e adirata.
caso              	caso              	«Ehm, Petunia, mia cara... non è che per caso hai sentito tua sorella, ultimamente?» Come aveva previsto, la signora Dursley assunse un’aria esterrefatta e adirata.
tua               	tuo               	«Ehm, Petunia, mia cara... non è che per caso hai sentito tua sorella, ultimamente?» Come aveva previsto, la signora Dursley assunse un’aria esterrefatta e adirata.
ultimamente       	ultimamente       	«Ehm, Petunia, mia cara... non è che per caso hai sentito tua sorella, ultimamente?» Come aveva previsto, la signora Dursley assunse un’aria esterrefatta e adirata.
assunse           	assumere          	«Ehm, Petunia, mia cara... non è che per caso hai sentito tua sorella, ultimamente?» Come aveva previsto, la signora Dursley assunse un’aria esterrefatta e adirata.
aria              	aria              	«Ehm, Petunia, mia cara... non è che per caso hai sentito tua sorella, ultimamente?» Come aveva previsto, la signora Dursley assunse un’aria esterrefatta e adirata.
adirata           	adirato           	«Ehm, Petunia, mia cara... non è che per caso hai sentito tua sorella, ultimamente?» Come aveva previsto, la signora Dursley assunse un’aria esterrefatta e adirata.
fin               	fine              	In fin dei conti, erano abituati a far finta che non avesse una sorella.
abituati          	abituare          	In fin dei conti, erano abituati a far finta che non avesse una sorella.
seccamente        	seccamente        	«No» rispose seccamente.
mah               	mah               	«Perché?» «Mah, non so... al telegiornale hanno detto cose strane» bofonchiò il signor Dursley.
allora            	allora            	«Gufi... stelle cadenti... e oggi, in città, un sacco di gente strampalata...» «E allora?
sbottò            	sbottare          	» sbottò la signora Dursley.
capito            	capire            	«Niente, pensavo soltanto... forse... qualcosa che avesse a che fare con... hai capito, no?
sorseggiò         	sorseggiare       	La signora Dursley sorseggiò il tè a labbra strette.
strette           	stretto           	La signora Dursley sorseggiò il tè a labbra strette.
intanto           	intanto           	Il signor Dursley si chiedeva intanto se avrebbe mai osato dirle di aver sentito pronunciare il nome ‘Potter’.
osato             	osare             	Il signor Dursley si chiedeva intanto se avrebbe mai osato dirle di aver sentito pronunciare il nome ‘Potter’.
pronunciare       	pronunciare       	Il signor Dursley si chiedeva intanto se avrebbe mai osato dirle di aver sentito pronunciare il nome ‘Potter’.
invece            	invece            	E invece, con il tono più naturale che gli riuscì di trovare, disse:
tono              	tono              	E invece, con il tono più naturale che gli riuscì di trovare, disse:
naturale          	naturale          	E invece, con il tono più naturale che gli riuscì di trovare, disse:
riuscì            	riuscire          	E invece, con il tono più naturale che gli riuscì di trovare, disse:
età               	età               	«Il figlio... dovrebbe avere la stessa età di Dudley, giusto?
giusto            	giusto            	«Il figlio... dovrebbe avere la stessa età di Dudley, giusto?
rigida            	rigido            	» «Credo di sì» rispose la signora Dursley, rigida come un manico di scopa.
manico            	manico            	» «Credo di sì» rispose la signora Dursley, rigida come un manico di scopa.
scopa             	scopa             	» «Credo di sì» rispose la signora Dursley, rigida come un manico di scopa.
terribilmente     	terribilmente     	Che poi è un nome terribilmente ordinario, se proprio lo vuoi sapere».
ordinario         	ordinario         	Che poi è un nome terribilmente ordinario, se proprio lo vuoi sapere».
tuffo             	tuffo             	«Eh già» disse il signor Dursley con un tuffo al cuore.
cuore             	cuore             	«Eh già» disse il signor Dursley con un tuffo al cuore.
accordo           	accordo           	«Sono proprio d’accordo».
camera            	camera            	Salirono in camera per andare a dormire senza più dire una parola sull’argomento.
dormire           	dormire           	Salirono in camera per andare a dormire senza più dire una parola sull’argomento.
argomento         	argomento         	Salirono in camera per andare a dormire senza più dire una parola sull’argomento.
bagno             	bagno             	Mentre la moglie era in bagno, il signor Dursley si avvicinò guardingo alla finestra della camera da letto e sbirciò fuori, nel giardino.
avvicinò          	avvicinarsi       	Mentre la moglie era in bagno, il signor Dursley si avvicinò guardingo alla finestra della camera da letto e sbirciò fuori, nel giardino.
guardingo         	guardingo         	Mentre la moglie era in bagno, il signor Dursley si avvicinò guardingo alla finestra della camera da letto e sbirciò fuori, nel giardino.
sbirciò           	sbirciare         	Mentre la moglie era in bagno, il signor Dursley si avvicinò guardingo alla finestra della camera da letto e sbirciò fuori, nel giardino.
fuori             	fuori             	Mentre la moglie era in bagno, il signor Dursley si avvicinò guardingo alla finestra della camera da letto e sbirciò fuori, nel giardino.
scrutando         	scrutare          	Stava scrutando Privet Drive, come se aspettasse qualcosa.
aspettasse        	aspettare         	Stava scrutando Privet Drive, come se aspettasse qualcosa.
galoppava         	galoppare         	La sua fantasia galoppava troppo?
troppo            	troppo            	La sua fantasia galoppava troppo?
cioè              	cioè              	Se sì... cioè, se veniva fuori che loro erano parenti di una coppia di... be’, non credeva proprio di poterlo sopportare.
parenti           	parente           	Se sì... cioè, se veniva fuori che loro erano parenti di una coppia di... be’, non credeva proprio di poterlo sopportare.
coppia            	coppia            	Se sì... cioè, se veniva fuori che loro erano parenti di una coppia di... be’, non credeva proprio di poterlo sopportare.
misero            	misero            	Si misero a letto.
addormentò        	addormentarsi     	Lei si addormentò subito, ma lui rimase lì steso, con gli occhi sbarrati, a rimuginare.
subito            	subito            	Lei si addormentò subito, ma lui rimase lì steso, con gli occhi sbarrati, a rimuginare.
steso             	stendere          	Lei si addormentò subito, ma lui rimase lì steso, con gli occhi sbarrati, a rimuginare.
sbarrati          	sbarrato          	Lei si addormentò subito, ma lui rimase lì steso, con gli occhi sbarrati, a rimuginare.
rimuginare        	rimuginare        	Lei si addormentò subito, ma lui rimase lì steso, con gli occhi sbarrati, a rimuginare.
confortante       	confortante       	L’ultimo, confortante pensiero prima di addormentarsi fu che, se anche i Potter avevano veramente qualcosa a che vedere con quella faccenda, non era affatto detto che dovessero farsi vivi con lui e sua moglie.
veramente         	veramente         	L’ultimo, confortante pensiero prima di addormentarsi fu che, se anche i Potter avevano veramente qualcosa a che vedere con quella faccenda, non era affatto detto che dovessero farsi vivi con lui e sua moglie.
faccenda          	faccenda          	L’ultimo, confortante pensiero prima di addormentarsi fu che, se anche i Potter avevano veramente qualcosa a che vedere con quella faccenda, non era affatto detto che dovessero farsi vivi con lui e sua moglie.
affatto           	affatto           	L’ultimo, confortante pensiero prima di addormentarsi fu che, se anche i Potter avevano veramente qualcosa a che vedere con quella faccenda, non era affatto detto che dovessero farsi vivi con lui e sua moglie.
farsi             	farsi             	L’ultimo, confortante pensiero prima di addormentarsi fu che, se anche i Potter avevano veramente qualcosa a che vedere con quella faccenda, non era affatto detto che dovessero farsi vivi con lui e sua moglie.
vivi              	vivo              	L’ultimo, confortante pensiero prima di addormentarsi fu che, se anche i Potter avevano veramente qualcosa a che vedere con quella faccenda, non era affatto detto che dovessero farsi vivi con lui e sua moglie.
risma             	risma             	I Potter sapevano molto bene quel che lui e Petunia pensavano di loro e di quelli della loro risma... Non vedeva proprio come potessero venire coinvolti, di qualsiasi cosa si trattasse – e qui sbadigliò e si girò dall’altra parte – la cosa non poteva riguardarli... Ma si sbagliava di grosso.
coinvolti         	coinvolgere       	I Potter sapevano molto bene quel che lui e Petunia pensavano di loro e di quelli della loro risma... Non vedeva proprio come potessero venire coinvolti, di qualsiasi cosa si trattasse – e qui sbadigliò e si girò dall’altra parte – la cosa non poteva riguardarli... Ma si sbagliava di grosso.
qui               	qui               	I Potter sapevano molto bene quel che lui e Petunia pensavano di loro e di quelli della loro risma... Non vedeva proprio come potessero venire coinvolti, di qualsiasi cosa si trattasse – e qui sbadigliò e si girò dall’altra parte – la cosa non poteva riguardarli... Ma si sbagliava di grosso.
sbadigliò         	sbadigliare       	I Potter sapevano molto bene quel che lui e Petunia pensavano di loro e di quelli della loro risma... Non vedeva proprio come potessero venire coinvolti, di qualsiasi cosa si trattasse – e qui sbadigliò e si girò dall’altra parte – la cosa non poteva riguardarli... Ma si sbagliava di grosso.
riguardarli       	riguardare        	I Potter sapevano molto bene quel che lui e Petunia pensavano di loro e di quelli della loro risma... Non vedeva proprio come potessero venire coinvolti, di qualsiasi cosa si trattasse – e qui sbadigliò e si girò dall’altra parte – la cosa non poteva riguardarli... Ma si sbagliava di grosso.
sbagliava         	sbagliarsi        	I Potter sapevano molto bene quel che lui e Petunia pensavano di loro e di quelli della loro risma... Non vedeva proprio come potessero venire coinvolti, di qualsiasi cosa si trattasse – e qui sbadigliò e si girò dall’altra parte – la cosa non poteva riguardarli... Ma si sbagliava di grosso.
scivolato         	scivolare         	Se il signor Dursley era scivolato in un sonno agitato, il gatto, seduto sul muretto di fuori, non dava alcun segno di aver sonno.
agitato           	agitato           	Se il signor Dursley era scivolato in un sonno agitato, il gatto, seduto sul muretto di fuori, non dava alcun segno di aver sonno.
immobile          	immobile          	Sedeva immobile come una statua, con gli occhi fissi e senza batter ciglio, all’angolo opposto di Privet Drive.
statua            	statua            	Sedeva immobile come una statua, con gli occhi fissi e senza batter ciglio, all’angolo opposto di Privet Drive.
fissi             	fisso             	Sedeva immobile come una statua, con gli occhi fissi e senza batter ciglio, all’angolo opposto di Privet Drive.
batter            	battere           	Sedeva immobile come una statua, con gli occhi fissi e senza batter ciglio, all’angolo opposto di Privet Drive.
ciglio            	ciglio            	Sedeva immobile come una statua, con gli occhi fissi e senza batter ciglio, all’angolo opposto di Privet Drive.
opposto           	opposto           	Sedeva immobile come una statua, con gli occhi fissi e senza batter ciglio, all’angolo opposto di Privet Drive.
minimo            	minimo            	E non ebbe il minimo soprassalto neanche quando, nella strada accanto, la portiera di una macchina sbatté forte, né quando due gufi gli sfrecciarono sopra la testa.
soprassalto       	soprassalto       	E non ebbe il minimo soprassalto neanche quando, nella strada accanto, la portiera di una macchina sbatté forte, né quando due gufi gli sfrecciarono sopra la testa.
portiera          	portiera          	E non ebbe il minimo soprassalto neanche quando, nella strada accanto, la portiera di una macchina sbatté forte, né quando due gufi gli sfrecciarono sopra la testa.
forte             	forte             	E non ebbe il minimo soprassalto neanche quando, nella strada accanto, la portiera di una macchina sbatté forte, né quando due gufi gli sfrecciarono sopra la testa.
né                	né|ne_2           	E non ebbe il minimo soprassalto neanche quando, nella strada accanto, la portiera di una macchina sbatté forte, né quando due gufi gli sfrecciarono sopra la testa.
