HPfrb1ch03-0001	nulle              	LES LETTRES DE NULLE PART
HPfrb1ch03-0362	profond            	Les profonds coups de tonnerre qui avaient commencé à retentir autour de minuit étouffaient les ronflements de Dudley qui dormait dans le canapé.
HPfrb1ch03-0363	tonnerre           	Les profonds coups de tonnerre qui avaient commencé à retentir autour de minuit étouffaient les ronflements de Dudley qui dormait dans le canapé.
HPfrb1ch03-0364	ronflement         	Les profonds coups de tonnerre qui avaient commencé à retentir autour de minuit étouffaient les ronflements de Dudley qui dormait dans le canapé.
HPfrb1ch03-0365	pendre             	Son bras pendait par-dessus l’accoudoir et Harry apercevait le cadran phosphorescent de sa montre sur son poignet gras.
HPfrb1ch03-0366	accoudoir          	Son bras pendait par-dessus l’accoudoir et Harry apercevait le cadran phosphorescent de sa montre sur son poignet gras.
HPfrb1ch03-0367	phosphorescent     	Son bras pendait par-dessus l’accoudoir et Harry apercevait le cadran phosphorescent de sa montre sur son poignet gras.
HPfrb1ch03-0368	poignet            	Son bras pendait par-dessus l’accoudoir et Harry apercevait le cadran phosphorescent de sa montre sur son poignet gras.
HPfrb1ch03-0369	auteur             	Il se demandait également où se trouvait l’auteur des lettres en cet instant.
HPfrb1ch03-0370	chaud              	Il espérait que le toit n’allait pas s’effondrer même s’il aurait alors plus chaud.
HPfrb1ch03-0371	trois              	Trois minutes.
HPfrb1ch03-0372	cogner             	Était-ce la mer qui cognait aussi violemment contre le rocher ?
HPfrb1ch03-0373	violemment         	Était-ce la mer qui cognait aussi violemment contre le rocher ?
HPfrb1ch03-0374	craquement         	Et ce drôle de craquement, qu’est-ce que c’était ?
HPfrb1ch03-0375	menacer            	Le rocher menaçait-il de s’effondrer ?
HPfrb1ch03-0376	trente             	Trente secondes… vingt… dix… neuf…
HPfrb1ch03-0377	vingt              	Trente secondes… vingt… dix… neuf…
HPfrb1ch03-0378	énerver            	Et s’il réveillait Dudley, rien que pour l’énerver ?
HPfrb1ch03-0379	boum               	Trois… deux… un… BOUM !
