HPfr05.txt-0001	traverse        	LE CHEMIN DE TRAVERSE Harry se réveilla de bonne heure le lendemain matin.
HPfr05.txt-0400	droitier        	– Euh… je suis droitier, répondit Harry.
HPfr05.txt-0401	mesurer         	Il mesura le bras de Harry, de l’épaule jusqu’au bout des doigts, puis du poignet jusqu’au coude, puis la hauteur de l’épaule jusqu’aux pieds, puis du genou à l’aisselle et enfin, il prit son tour de tête.
HPfr05.txt-0402	coude           	Il mesura le bras de Harry, de l’épaule jusqu’au bout des doigts, puis du poignet jusqu’au coude, puis la hauteur de l’épaule jusqu’aux pieds, puis du genou à l’aisselle et enfin, il prit son tour de tête.
HPfr05.txt-0403	hauteur         	Il mesura le bras de Harry, de l’épaule jusqu’au bout des doigts, puis du poignet jusqu’au coude, puis la hauteur de l’épaule jusqu’aux pieds, puis du genou à l’aisselle et enfin, il prit son tour de tête.
HPfr05.txt-0404	aisselle        	Il mesura le bras de Harry, de l’épaule jusqu’au bout des doigts, puis du poignet jusqu’au coude, puis la hauteur de l’épaule jusqu’aux pieds, puis du genou à l’aisselle et enfin, il prit son tour de tête.
HPfr05.txt-0405	renfermer       	– Chaque baguette de chez Ollivander renferme des substances magiques très puissantes, Mr Potter.
HPfr05.txt-0406	phénix          	Nous utilisons du poil de licorne, des plumes de phénix ou des ventricules de cœur de dragon.
HPfr05.txt-0407	ventricule      	Nous utilisons du poil de licorne, des plumes de phénix ou des ventricules de cœur de dragon.
HPfr05.txt-0408	identique       	Et de même qu’on ne trouve pas deux licornes, deux dragons ou deux phénix exactement semblables, il n’existe pas deux baguettes de chez Ollivander qui soient identiques.
HPfr05.txt-0409	satisfaisant    	J’ajoute, bien entendu, qu’aucune autre baguette magique ne vous donnera des résultats aussi satisfaisants que les nôtres.
HPfr05.txt-0410	nôtre           	J’ajoute, bien entendu, qu’aucune autre baguette magique ne vous donnera des résultats aussi satisfaisants que les nôtres.
HPfr05.txt-0411	écartement      	Le vieil homme alla prendre des boîtes disposées sur des étagères tandis que le mètre ruban continuait tout seul de prendre les dernières mesures nécessaires – l’écartement des narines, notamment.
HPfr05.txt-0412	narine          	Le vieil homme alla prendre des boîtes disposées sur des étagères tandis que le mètre ruban continuait tout seul de prendre les dernières mesures nécessaires – l’écartement des narines, notamment.
HPfr05.txt-0413	notamment       	Le vieil homme alla prendre des boîtes disposées sur des étagères tandis que le mètre ruban continuait tout seul de prendre les dernières mesures nécessaires – l’écartement des narines, notamment.
HPfr05.txt-0414	hêtre           	Elle est en bois de hêtre et contient du ventricule de dragon, 22,5 centimètres.
HPfr05.txt-0415	érable          	– Bois d’érable et plume de phénix, 17,5 centimètres, très flexible.
HPfr05.txt-0416	ébène           	Non, plutôt celle-ci, bois d’ébène et crin de licorne, 21,25 centimètres, très souple.
HPfr05.txt-0417	crin            	Non, plutôt celle-ci, bois d’ébène et crin de licorne, 21,25 centimètres, très souple.
HPfr05.txt-0418	convenir        	Bientôt, il y eut un monceau de baguettes magiques posées sur la chaise en bois mince, mais aucune ne convenait.
HPfr05.txt-0419	commenter       	– Un client difficile, commenta Mr Ollivander d’un air satisfait.
HPfr05.txt-0420	satisfait       	– Un client difficile, commenta Mr Ollivander d’un air satisfait.
HPfr05.txt-0421	convier         	Mais nous finirons bien par trouver celle qui vous convient.
HPfr05.txt-0422	combinaison     	Une combinaison originale : bois de houx et plume de phénix, 27,5 centimètres.
HPfr05.txt-0423	original        	Une combinaison originale : bois de houx et plume de phénix, 27,5 centimètres.
HPfr05.txt-0424	houx            	Une combinaison originale : bois de houx et plume de phénix, 27,5 centimètres.
HPfr05.txt-0425	manier          	Facile à manier, très souple.
HPfr05.txt-0426	abaisser        	Il la leva au-dessus de sa tête, puis l’abaissa en la faisant siffler dans l’air.
HPfr05.txt-0427	gerbe           	Une gerbe d’étincelles rouge et or jaillit alors de l’extrémité de la baguette, projetant sur les murs des lueurs mouvantes.
HPfr05.txt-0428	étincelle       	Une gerbe d’étincelles rouge et or jaillit alors de l’extrémité de la baguette, projetant sur les murs des lueurs mouvantes.
HPfr05.txt-0429	extrémité       	Une gerbe d’étincelles rouge et or jaillit alors de l’extrémité de la baguette, projetant sur les murs des lueurs mouvantes.
HPfr05.txt-0430	mouvant         	Une gerbe d’étincelles rouge et or jaillit alors de l’extrémité de la baguette, projetant sur les murs des lueurs mouvantes.
HPfr05.txt-0431	applaudir       	Hagrid applaudit en poussant une exclamation enthousiaste.
HPfr05.txt-0432	enthousiaste    	Hagrid applaudit en poussant une exclamation enthousiaste.
HPfr05.txt-0433	bravo           	– Bravo ! s’écria Mr Ollivander.
HPfr05.txt-0434	prélever        	Or, le phénix sur lequel a été prélevée la plume qui se trouve dans votre baguette a également fourni une autre plume à une autre baguette.
HPfr05.txt-0435	fournir         	Or, le phénix sur lequel a été prélevée la plume qui se trouve dans votre baguette a également fourni une autre plume à une autre baguette.
HPfr05.txt-0436	précisément     	Il est très étrange que ce soit précisément cette baguette qui vous ait convenu, car sa sœur n’est autre que celle qui… qui vous a fait cette cicatrice au front.
HPfr05.txt-0437	curieux         	Curieux, vraiment, la façon dont les choses se produisent.
HPfr05.txt-0438	certes          	Je crois que vous avez un bel avenir, Mr Potter… Après tout, Celui-Dont-On-Ne-Doit-Pas-Prononcer-Le-Nom a fait de grandes choses, des choses terribles, certes, mais quelle envergure !
HPfr05.txt-0439	envergure       	Je crois que vous avez un bel avenir, Mr Potter… Après tout, Celui-Dont-On-Ne-Doit-Pas-Prononcer-Le-Nom a fait de grandes choses, des choses terribles, certes, mais quelle envergure !
HPfr05.txt-0440	raccompagner     	Il paya les sept Gallions que coûtait la baguette et le vieil homme les raccompagna jusqu’à la porte de sa boutique.
HPfr05.txt-0441	horizon         	Lorsque Hagrid et Harry reprirent le Chemin de Traverse dans l’autre sens, le soleil descendait déjà vers l’horizon.
HPfr05.txt-0442	inverse         	Ils franchirent le mur en sens inverse et traversèrent à nouveau Le Chaudron Baveur, vide à cette heure.
HPfr05.txt-0443	somnoler        	Dans le métro, il ne remarqua même pas les autres passagers qui les regardaient bouche bée en voyant tous leurs paquets aux formes bizarres et la chouette blanche qui somnolait sur ses genoux.
HPfr05.txt-0444	mécanique       	Ils montèrent un autre escalier mécanique et arrivèrent à la gare de Paddington.
HPfr05.txt-0445	réaliser        	Il fallut que Hagrid tapote l’épaule de Harry pour que celui-ci réalise enfin qu’ils étaient arrivés.
HPfr05.txt-0446	départ          	– On a le temps d’avaler quelque chose avant le départ du train, dit Hagrid.
HPfr05.txt-0447	plastique       	Il offrit à Harry un hamburger et ils allèrent s’asseoir sur des sièges en plastique pour manger.
HPfr05.txt-0448	mâchonner       	Il avait eu le plus bel anniversaire de sa vie, et pourtant… – Tout le monde pense que je suis quelqu’un d’exceptionnel, dit-il enfin en mâchonnant sa viande caoutchouteuse.
HPfr05.txt-0449	viande          	Il avait eu le plus bel anniversaire de sa vie, et pourtant… – Tout le monde pense que je suis quelqu’un d’exceptionnel, dit-il enfin en mâchonnant sa viande caoutchouteuse.
HPfr05.txt-0450	caoutchouteux   	Il avait eu le plus bel anniversaire de sa vie, et pourtant… – Tout le monde pense que je suis quelqu’un d’exceptionnel, dit-il enfin en mâchonnant sa viande caoutchouteuse.
HPfr05.txt-0451	bienveillant    	Ne t’inquiète pas, Harry, répondit Hagrid avec un sourire bienveillant, tu apprendras très vite.
HPfr05.txt-0452	ébranler        	Le train s’ébranla.
