HPfrb1ch05-0001	traverse        	LE CHEMIN DE TRAVERSE Harry se réveilla de bonne heure le lendemain matin.
HPfrb1ch05-0398	délabrer        	La dernière boutique dans laquelle ils pénétrèrent était étroite et délabrée.
HPfrb1ch05-0399	écailler        	Au-dessus de la porte, des lettres d’or écaillées indiquaient : « Ollivander – Fabricants de baguettes magiques depuis 382 avant J.-C. » Dans la vitrine poussiéreuse, une simple baguette de bois était exposée sur un coussin pourpre un peu râpé.
HPfrb1ch05-0400	fabricant       	Au-dessus de la porte, des lettres d’or écaillées indiquaient : « Ollivander – Fabricants de baguettes magiques depuis 382 avant J.-C. » Dans la vitrine poussiéreuse, une simple baguette de bois était exposée sur un coussin pourpre un peu râpé.
HPfrb1ch05-0401	poussiéreux     	Au-dessus de la porte, des lettres d’or écaillées indiquaient : « Ollivander – Fabricants de baguettes magiques depuis 382 avant J.-C. » Dans la vitrine poussiéreuse, une simple baguette de bois était exposée sur un coussin pourpre un peu râpé.
HPfrb1ch05-0402	coussin         	Au-dessus de la porte, des lettres d’or écaillées indiquaient : « Ollivander – Fabricants de baguettes magiques depuis 382 avant J.-C. » Dans la vitrine poussiéreuse, une simple baguette de bois était exposée sur un coussin pourpre un peu râpé.
HPfrb1ch05-0403	râpé            	Au-dessus de la porte, des lettres d’or écaillées indiquaient : « Ollivander – Fabricants de baguettes magiques depuis 382 avant J.-C. » Dans la vitrine poussiéreuse, une simple baguette de bois était exposée sur un coussin pourpre un peu râpé.
HPfrb1ch05-0404	clochette       	À leur entrée, une clochette retentit au fond de la boutique.
HPfrb1ch05-0405	austère         	Harry éprouvait une étrange sensation, comme s’il venait d’entrer dans une bibliothèque particulièrement austère.
HPfrb1ch05-0406	millier         	Il renonça à poser toutes les questions qui lui venaient à l’esprit et se contenta d’observer les milliers de boîtes étroites qui s’entassaient presque jusqu’au plafond.
HPfrb1ch05-0407	nuque           	Il sentit un frisson dans la nuque.
HPfrb1ch05-0408	poussière       	La poussière et le silence du lieu semblaient receler une magie secrète.
HPfrb1ch05-0409	receler         	La poussière et le silence du lieu semblaient receler une magie secrète.
HPfrb1ch05-0410	lune            	Ses grands yeux pâles brillaient comme deux lunes dans la pénombre de la boutique.
HPfrb1ch05-0411	centimètre      	Je me souviens quand elle est venue acheter sa première baguette, j’ai l’impression que c’était hier, 25,6 centimètres, souple et rapide, bois de saule.
HPfrb1ch05-0412	souple          	Je me souviens quand elle est venue acheter sa première baguette, j’ai l’impression que c’était hier, 25,6 centimètres, souple et rapide, bois de saule.
HPfrb1ch05-0413	saule           	Je me souviens quand elle est venue acheter sa première baguette, j’ai l’impression que c’était hier, 25,6 centimètres, souple et rapide, bois de saule.
HPfrb1ch05-0414	angoissant      	Les yeux argentés du vieil homme avaient quelque chose d’angoissant.
HPfrb1ch05-0415	acajou          	– Votre père, en revanche, avait préféré une baguette d’acajou, 27,5 centimètres.
HPfrb1ch05-0416	flexible        	Flexible.
HPfrb1ch05-0417	remarquablement 	Un peu plus puissante et remarquablement efficace pour les métamorphoses.
HPfrb1ch05-0418	efficace        	Un peu plus puissante et remarquablement efficace pour les métamorphoses.
HPfrb1ch05-0419	if              	En bois d’if.
HPfrb1ch05-0420	maléfique       	Une baguette puissante, très puissante, et entre des mains maléfiques…
HPfrb1ch05-0421	chêne           	C’était du chêne, 40 centimètres, plutôt flexible, n’est-ce pas ?
HPfrb1ch05-0422	exclure         	Mais ils ont dû la casser en deux quand vous avez été exclu du collège ? demanda Mr Ollivander d’un ton soudain grave.
HPfrb1ch05-0423	grave           	Mais ils ont dû la casser en deux quand vous avez été exclu du collège ? demanda Mr Ollivander d’un ton soudain grave.
HPfrb1ch05-0424	mètre           	Il sortit de sa poche un mètre ruban avec des marques en argent.
HPfrb1ch05-0425	ruban           	Il sortit de sa poche un mètre ruban avec des marques en argent.
HPfrb1ch05-0426	marque          	Il sortit de sa poche un mètre ruban avec des marques en argent.
HPfrb1ch05-0427	droitier        	– Euh… je suis droitier, répondit Harry.
HPfrb1ch05-0428	tendre          	– Tendez le bras.
HPfrb1ch05-0429	mesurer         	Il mesura le bras de Harry, de l’épaule jusqu’au bout des doigts, puis du poignet jusqu’au coude, puis la hauteur de l’épaule jusqu’aux pieds, puis du genou à l’aisselle et enfin, il prit son tour de tête.
HPfrb1ch05-0430	coude           	Il mesura le bras de Harry, de l’épaule jusqu’au bout des doigts, puis du poignet jusqu’au coude, puis la hauteur de l’épaule jusqu’aux pieds, puis du genou à l’aisselle et enfin, il prit son tour de tête.
HPfrb1ch05-0431	hauteur         	Il mesura le bras de Harry, de l’épaule jusqu’au bout des doigts, puis du poignet jusqu’au coude, puis la hauteur de l’épaule jusqu’aux pieds, puis du genou à l’aisselle et enfin, il prit son tour de tête.
HPfrb1ch05-0432	aisselle        	Il mesura le bras de Harry, de l’épaule jusqu’au bout des doigts, puis du poignet jusqu’au coude, puis la hauteur de l’épaule jusqu’aux pieds, puis du genou à l’aisselle et enfin, il prit son tour de tête.
HPfrb1ch05-0433	renfermer       	– Chaque baguette de chez Ollivander renferme des substances magiques très puissantes, Mr Potter.
HPfrb1ch05-0434	phénix          	Nous utilisons du poil de licorne, des plumes de phénix ou des ventricules de cœur de dragon.
HPfrb1ch05-0435	ventricule      	Nous utilisons du poil de licorne, des plumes de phénix ou des ventricules de cœur de dragon.
HPfrb1ch05-0436	identique       	Et de même qu’on ne trouve pas deux licornes, deux dragons ou deux phénix exactement semblables, il n’existe pas deux baguettes de chez Ollivander qui soient identiques.
HPfrb1ch05-0437	satisfaisant    	J’ajoute, bien entendu, qu’aucune autre baguette magique ne vous donnera des résultats aussi satisfaisants que les nôtres.
HPfrb1ch05-0438	nôtre           	J’ajoute, bien entendu, qu’aucune autre baguette magique ne vous donnera des résultats aussi satisfaisants que les nôtres.
HPfrb1ch05-0439	écartement      	Le vieil homme alla prendre des boîtes disposées sur des étagères tandis que le mètre ruban continuait tout seul de prendre les dernières mesures nécessaires – l’écartement des narines, notamment.
HPfrb1ch05-0440	narine          	Le vieil homme alla prendre des boîtes disposées sur des étagères tandis que le mètre ruban continuait tout seul de prendre les dernières mesures nécessaires – l’écartement des narines, notamment.
HPfrb1ch05-0441	notamment       	Le vieil homme alla prendre des boîtes disposées sur des étagères tandis que le mètre ruban continuait tout seul de prendre les dernières mesures nécessaires – l’écartement des narines, notamment.
HPfrb1ch05-0442	essayer         	Essayez donc celle-ci, Mr Potter.
HPfrb1ch05-0443	hêtre           	Elle est en bois de hêtre et contient du ventricule de dragon, 22,5 centimètres.
HPfrb1ch05-0444	érable          	– Bois d’érable et plume de phénix, 17,5 centimètres, très flexible.
HPfrb1ch05-0445	ébène           	Non, plutôt celle-ci, bois d’ébène et crin de licorne, 21,25 centimètres, très souple.
HPfrb1ch05-0446	crin            	Non, plutôt celle-ci, bois d’ébène et crin de licorne, 21,25 centimètres, très souple.
HPfrb1ch05-0447	convenir        	Bientôt, il y eut un monceau de baguettes magiques posées sur la chaise en bois mince, mais aucune ne convenait.
HPfrb1ch05-0448	commenter       	– Un client difficile, commenta Mr Ollivander d’un air satisfait.
HPfrb1ch05-0449	satisfait       	– Un client difficile, commenta Mr Ollivander d’un air satisfait.
HPfrb1ch05-0450	convier         	Mais nous finirons bien par trouver celle qui vous convient.
HPfrb1ch05-0451	combinaison     	Une combinaison originale : bois de houx et plume de phénix, 27,5 centimètres.
HPfrb1ch05-0452	original        	Une combinaison originale : bois de houx et plume de phénix, 27,5 centimètres.
HPfrb1ch05-0453	houx            	Une combinaison originale : bois de houx et plume de phénix, 27,5 centimètres.
HPfrb1ch05-0454	manier          	Facile à manier, très souple.
HPfrb1ch05-0455	abaisser        	Il la leva au-dessus de sa tête, puis l’abaissa en la faisant siffler dans l’air.
HPfrb1ch05-0456	gerbe           	Une gerbe d’étincelles rouge et or jaillit alors de l’extrémité de la baguette, projetant sur les murs des lueurs mouvantes.
HPfrb1ch05-0457	étincelle       	Une gerbe d’étincelles rouge et or jaillit alors de l’extrémité de la baguette, projetant sur les murs des lueurs mouvantes.
HPfrb1ch05-0458	extrémité       	Une gerbe d’étincelles rouge et or jaillit alors de l’extrémité de la baguette, projetant sur les murs des lueurs mouvantes.
HPfrb1ch05-0459	mouvant         	Une gerbe d’étincelles rouge et or jaillit alors de l’extrémité de la baguette, projetant sur les murs des lueurs mouvantes.
HPfrb1ch05-0460	applaudir       	Hagrid applaudit en poussant une exclamation enthousiaste.
HPfrb1ch05-0461	enthousiaste    	Hagrid applaudit en poussant une exclamation enthousiaste.
HPfrb1ch05-0462	bravo           	– Bravo ! s’écria Mr Ollivander.
HPfrb1ch05-0463	étrange         	Il reprit la baguette et la remit dans sa boîte qu’il enveloppa de papier kraft en continuant de marmonner : « Étrange… vraiment étrange… »
HPfrb1ch05-0464	excuser         	– Excusez-moi, dit Harry, mais qu’est-ce qui est donc si étrange ?
HPfrb1ch05-0465	prélever        	Or, le phénix sur lequel a été prélevée la plume qui se trouve dans votre baguette a également fourni une autre plume à une autre baguette.
HPfrb1ch05-0466	fournir         	Or, le phénix sur lequel a été prélevée la plume qui se trouve dans votre baguette a également fourni une autre plume à une autre baguette.
HPfrb1ch05-0467	précisément     	Il est très étrange que ce soit précisément cette baguette qui vous ait convenu, car sa sœur n’est autre que celle qui… qui vous a fait cette cicatrice au front.
HPfrb1ch05-0468	curieux         	Curieux, vraiment, la façon dont les choses se produisent.
HPfrb1ch05-0469	celui           	Je crois que vous avez un bel avenir, Mr Potter… Après tout, Celui-Dont-On-Ne-Doit-Pas-Prononcer-Le-Nom a fait de grandes choses, des choses terribles, certes, mais quelle envergure !
HPfrb1ch05-0470	dont            	Je crois que vous avez un bel avenir, Mr Potter… Après tout, Celui-Dont-On-Ne-Doit-Pas-Prononcer-Le-Nom a fait de grandes choses, des choses terribles, certes, mais quelle envergure !
HPfrb1ch05-0471	devoir            	Je crois que vous avez un bel avenir, Mr Potter… Après tout, Celui-Dont-On-Ne-Doit-Pas-Prononcer-Le-Nom a fait de grandes choses, des choses terribles, certes, mais quelle envergure !
HPfrb1ch05-0472	certes          	Je crois que vous avez un bel avenir, Mr Potter… Après tout, Celui-Dont-On-Ne-Doit-Pas-Prononcer-Le-Nom a fait de grandes choses, des choses terribles, certes, mais quelle envergure !
HPfrb1ch05-0473	envergure       	Je crois que vous avez un bel avenir, Mr Potter… Après tout, Celui-Dont-On-Ne-Doit-Pas-Prononcer-Le-Nom a fait de grandes choses, des choses terribles, certes, mais quelle envergure !
HPfrb1ch05-0474	frissonner       	Harry frissonna.
HPfrb1ch05-0475	sept            	Il paya les sept Gallions que coûtait la baguette et le vieil homme les raccompagna jusqu’à la porte de sa boutique.
HPfrb1ch05-0476	raccompagner     	Il paya les sept Gallions que coûtait la baguette et le vieil homme les raccompagna jusqu’à la porte de sa boutique.
HPfrb1ch05-0477	horizon         	Lorsque Hagrid et Harry reprirent le Chemin de Traverse dans l’autre sens, le soleil descendait déjà vers l’horizon.
HPfrb1ch05-0478	inverse         	Ils franchirent le mur en sens inverse et traversèrent à nouveau Le Chaudron Baveur, vide à cette heure.
HPfrb1ch05-0479	somnoler        	Dans le métro, il ne remarqua même pas les autres passagers qui les regardaient bouche bée en voyant tous leurs paquets aux formes bizarres et la chouette blanche qui somnolait sur ses genoux.
HPfrb1ch05-0480	mécanique       	Ils montèrent un autre escalier mécanique et arrivèrent à la gare de Paddington.
HPfrb1ch05-0481	réaliser        	Il fallut que Hagrid tapote l’épaule de Harry pour que celui-ci réalise enfin qu’ils étaient arrivés.
HPfrb1ch05-0482	départ          	– On a le temps d’avaler quelque chose avant le départ du train, dit Hagrid.
HPfrb1ch05-0483	plastique       	Il offrit à Harry un hamburger et ils allèrent s’asseoir sur des sièges en plastique pour manger.
HPfrb1ch05-0484	mâchonner       	Il avait eu le plus bel anniversaire de sa vie, et pourtant… – Tout le monde pense que je suis quelqu’un d’exceptionnel, dit-il enfin en mâchonnant sa viande caoutchouteuse.
HPfrb1ch05-0485	viande          	Il avait eu le plus bel anniversaire de sa vie, et pourtant… – Tout le monde pense que je suis quelqu’un d’exceptionnel, dit-il enfin en mâchonnant sa viande caoutchouteuse.
HPfrb1ch05-0486	caoutchouteux   	Il avait eu le plus bel anniversaire de sa vie, et pourtant… – Tout le monde pense que je suis quelqu’un d’exceptionnel, dit-il enfin en mâchonnant sa viande caoutchouteuse.
HPfrb1ch05-0487	bienveillant    	Ne t’inquiète pas, Harry, répondit Hagrid avec un sourire bienveillant, tu apprendras très vite.
HPfrb1ch05-0488	content          	Moi aussi, j’étais content… Et je le suis toujours…
HPfrb1ch05-0489	ébranler        	Le train s’ébranla.
HPfrb1ch05-0490	coller           	Il se leva de son siège et colla le nez contre la vitre, mais le temps de cligner des yeux, Hagrid avait disparu.
