le               	LE SURVIVANT
presque          	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
finir            	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
composer         	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
numéro           	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
changer          	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
avis             	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
reposer          	Il reposa le combiné et se caressa la moustache.
combiné          	Il reposa le combiné et se caressa la moustache.
caresser         	Il reposa le combiné et se caressa la moustache.
réfléchir        	Il réfléchissait… non, décidément, il était idiot.
décidément       	Il réfléchissait… non, décidément, il était idiot.
idiot            	Il réfléchissait… non, décidément, il était idiot.
nom              	Potter n’était pas un nom si rare.
rare             	Potter n’était pas un nom si rare.
sûr              	On pouvait être sûr qu’un grand nombre de Potter avaient un fils prénommé Harry.
nombre           	On pouvait être sûr qu’un grand nombre de Potter avaient un fils prénommé Harry.
repenser         	Et quand il y repensait, il n’était même pas certain que son neveu se prénomme véritablement Harry.
certain          	Et quand il y repensait, il n’était même pas certain que son neveu se prénomme véritablement Harry.
neveu            	Et quand il y repensait, il n’était même pas certain que son neveu se prénomme véritablement Harry.
véritablement    	Et quand il y repensait, il n’était même pas certain que son neveu se prénomme véritablement Harry.
après            	Après tout, il s’appelait peut-être Harvey.
appeler          	Après tout, il s’appelait peut-être Harvey.
inutile          	Il était inutile d’inquiéter Mrs Dursley pour si peu.
inquiéter        	Il était inutile d’inquiéter Mrs Dursley pour si peu.
allusion         	Toute allusion à sa sœur la mettait dans un tel état !
tel              	Toute allusion à sa sœur la mettait dans un tel état !
état             	Toute allusion à sa sœur la mettait dans un tel état !
enfin            	Si lui-même avait eu une sœur comme celle-là… mais enfin quand même, tous ces gens vêtus de capes…
beaucoup         	Cet après-midi-là, il lui fut beaucoup plus difficile de se concentrer sur ses perceuses et lorsqu’il quitta les bureaux à cinq heures, il était encore si préoccupé qu’il heurta quelqu’un juste devant la porte.
difficile        	Cet après-midi-là, il lui fut beaucoup plus difficile de se concentrer sur ses perceuses et lorsqu’il quitta les bureaux à cinq heures, il était encore si préoccupé qu’il heurta quelqu’un juste devant la porte.
cinq             	Cet après-midi-là, il lui fut beaucoup plus difficile de se concentrer sur ses perceuses et lorsqu’il quitta les bureaux à cinq heures, il était encore si préoccupé qu’il heurta quelqu’un juste devant la porte.
encore           	Cet après-midi-là, il lui fut beaucoup plus difficile de se concentrer sur ses perceuses et lorsqu’il quitta les bureaux à cinq heures, il était encore si préoccupé qu’il heurta quelqu’un juste devant la porte.
préoccuper       	Cet après-midi-là, il lui fut beaucoup plus difficile de se concentrer sur ses perceuses et lorsqu’il quitta les bureaux à cinq heures, il était encore si préoccupé qu’il heurta quelqu’un juste devant la porte.
heurter          	Cet après-midi-là, il lui fut beaucoup plus difficile de se concentrer sur ses perceuses et lorsqu’il quitta les bureaux à cinq heures, il était encore si préoccupé qu’il heurta quelqu’un juste devant la porte.
juste            	Cet après-midi-là, il lui fut beaucoup plus difficile de se concentrer sur ses perceuses et lorsqu’il quitta les bureaux à cinq heures, il était encore si préoccupé qu’il heurta quelqu’un juste devant la porte.
porte            	Cet après-midi-là, il lui fut beaucoup plus difficile de se concentrer sur ses perceuses et lorsqu’il quitta les bureaux à cinq heures, il était encore si préoccupé qu’il heurta quelqu’un juste devant la porte.
navrer           	– Navré, grommela-t-il au vieil homme minuscule qu’il avait manqué de faire tomber.
grommeler        	– Navré, grommela-t-il au vieil homme minuscule qu’il avait manqué de faire tomber.
vieux            	– Navré, grommela-t-il au vieil homme minuscule qu’il avait manqué de faire tomber.
minuscule        	– Navré, grommela-t-il au vieil homme minuscule qu’il avait manqué de faire tomber.
manquer          	– Navré, grommela-t-il au vieil homme minuscule qu’il avait manqué de faire tomber.
tomber           	– Navré, grommela-t-il au vieil homme minuscule qu’il avait manqué de faire tomber.
seconde          	Il se passa quelques secondes avant que Mr Dursley se rende compte que l’homme portait une cape violette.
avant            	Il se passa quelques secondes avant que Mr Dursley se rende compte que l’homme portait une cape violette.
rendre           	Il se passa quelques secondes avant que Mr Dursley se rende compte que l’homme portait une cape violette.
compte           	Il se passa quelques secondes avant que Mr Dursley se rende compte que l’homme portait une cape violette.
violette         	Il se passa quelques secondes avant que Mr Dursley se rende compte que l’homme portait une cape violette.
renverser        	Le fait d’avoir été presque renversé ne semblait pas avoir affecté son humeur.
sembler          	Le fait d’avoir été presque renversé ne semblait pas avoir affecté son humeur.
affecter         	Le fait d’avoir été presque renversé ne semblait pas avoir affecté son humeur.
contraire        	Au contraire, son visage se fendit d’un large sourire tandis qu’il répondait d’une petite voix perçante qui lui attira le regard des passants :
visage           	Au contraire, son visage se fendit d’un large sourire tandis qu’il répondait d’une petite voix perçante qui lui attira le regard des passants :
fendre           	Au contraire, son visage se fendit d’un large sourire tandis qu’il répondait d’une petite voix perçante qui lui attira le regard des passants :
large            	Au contraire, son visage se fendit d’un large sourire tandis qu’il répondait d’une petite voix perçante qui lui attira le regard des passants :
sourire          	Au contraire, son visage se fendit d’un large sourire tandis qu’il répondait d’une petite voix perçante qui lui attira le regard des passants :
répondre         	Au contraire, son visage se fendit d’un large sourire tandis qu’il répondait d’une petite voix perçante qui lui attira le regard des passants :
voix             	Au contraire, son visage se fendit d’un large sourire tandis qu’il répondait d’une petite voix perçante qui lui attira le regard des passants :
perçant          	Au contraire, son visage se fendit d’un large sourire tandis qu’il répondait d’une petite voix perçante qui lui attira le regard des passants :
attirer          	Au contraire, son visage se fendit d’un large sourire tandis qu’il répondait d’une petite voix perçante qui lui attira le regard des passants :
mon              	– Ne soyez pas navré, mon cher Monsieur.
cher             	– Ne soyez pas navré, mon cher Monsieur.
monsieur         	– Ne soyez pas navré, mon cher Monsieur.
me               	Rien aujourd’hui ne saurait me mettre en colère.
réjouir          	Réjouissez-vous, puisque Vous-Savez-Qui a enfin disparu.
puisque          	Réjouissez-vous, puisque Vous-Savez-Qui a enfin disparu.
vous             	Réjouissez-vous, puisque Vous-Savez-Qui a enfin disparu.
disparaître      	Réjouissez-vous, puisque Vous-Savez-Qui a enfin disparu.
fêter            	Même les Moldus comme vous devraient fêter cet heureux, très heureux jour !
heureux          	Même les Moldus comme vous devraient fêter cet heureux, très heureux jour !
serrer           	Le vieil homme prit alors Mr Dursley par la taille et le serra contre lui avant de poursuivre son chemin.
poursuivre       	Le vieil homme prit alors Mr Dursley par la taille et le serra contre lui avant de poursuivre son chemin.
chemin           	Le vieil homme prit alors Mr Dursley par la taille et le serra contre lui avant de poursuivre son chemin.
rester           	Mr Dursley resta cloué sur place.
clouer           	Mr Dursley resta cloué sur place.
bras             	Quelqu’un qu’il n’avait jamais vu venait de le prendre dans ses bras.
sens             	Et l’avait appelé « Moldu », ce qui n’avait aucun sens.
retourner        	Il en était tout retourné et se dépêcha de remonter dans sa voiture.
victime          	Il prit alors le chemin de sa maison en espérant qu’il avait été victime de son imagination.
imagination      	Il prit alors le chemin de sa maison en espérant qu’il avait été victime de son imagination.
pareil           	C’était bien la première fois qu’il espérait une chose pareille, car il détestait tout ce qui avait trait à l’imagination.
détester         	C’était bien la première fois qu’il espérait une chose pareille, car il détestait tout ce qui avait trait à l’imagination.
trait            	C’était bien la première fois qu’il espérait une chose pareille, car il détestait tout ce qui avait trait à l’imagination.
améliorer        	Lorsqu’il s’engagea dans l’allée du numéro 4 de sa rue, la première chose qu’il vit – et qui n’améliora pas son humeur – ce fut le chat tigré qu’il avait déjà remarqué le matin même.
déjà             	Lorsqu’il s’engagea dans l’allée du numéro 4 de sa rue, la première chose qu’il vit – et qui n’améliora pas son humeur – ce fut le chat tigré qu’il avait déjà remarqué le matin même.
présent          	À présent, l’animal était assis sur le mur de son jardin.
reconnaître      	Il reconnaissait les dessins de son pelage autour des yeux.
dessin           	Il reconnaissait les dessins de son pelage autour des yeux.
pelage           	Il reconnaissait les dessins de son pelage autour des yeux.
autour           	Il reconnaissait les dessins de son pelage autour des yeux.
ouste            	– Allez, ouste !
exclamer         	s’exclama Mr Dursley.
bouger           	Le chat ne bougea pas.
contenter        	Il se contenta de le regarder d’un air sévère.
sévère           	Il se contenta de le regarder d’un air sévère.
demander         	Mr Dursley se demanda si c’était un comportement normal pour un chat.
comportement     	Mr Dursley se demanda si c’était un comportement normal pour un chat.
contenance       	Essayant de reprendre contenance, il entra dans sa maison, toujours décidé à ne rien révéler à sa femme.
décider          	Essayant de reprendre contenance, il entra dans sa maison, toujours décidé à ne rien révéler à sa femme.
révéler          	Essayant de reprendre contenance, il entra dans sa maison, toujours décidé à ne rien révéler à sa femme.
femme            	Essayant de reprendre contenance, il entra dans sa maison, toujours décidé à ne rien révéler à sa femme.
journée          	Mrs Dursley avait passé une journée agréable et parfaitement normale.
agréable         	Mrs Dursley avait passé une journée agréable et parfaitement normale.
cours            	Au cours du dîner, elle lui raconta tous les problèmes que la voisine d’à côté avait avec sa fille et lui signala également que Dudley avait appris un nouveau mot : « Veux pas ! ».
dîner            	Au cours du dîner, elle lui raconta tous les problèmes que la voisine d’à côté avait avec sa fille et lui signala également que Dudley avait appris un nouveau mot : « Veux pas ! ».
problème         	Au cours du dîner, elle lui raconta tous les problèmes que la voisine d’à côté avait avec sa fille et lui signala également que Dudley avait appris un nouveau mot : « Veux pas ! ».
côté             	Au cours du dîner, elle lui raconta tous les problèmes que la voisine d’à côté avait avec sa fille et lui signala également que Dudley avait appris un nouveau mot : « Veux pas ! ».
signaler         	Au cours du dîner, elle lui raconta tous les problèmes que la voisine d’à côté avait avec sa fille et lui signala également que Dudley avait appris un nouveau mot : « Veux pas ! ».
également        	Au cours du dîner, elle lui raconta tous les problèmes que la voisine d’à côté avait avec sa fille et lui signala également que Dudley avait appris un nouveau mot : « Veux pas ! ».
apprendre        	Au cours du dîner, elle lui raconta tous les problèmes que la voisine d’à côté avait avec sa fille et lui signala également que Dudley avait appris un nouveau mot : « Veux pas ! ».
conduire         	Mr Dursley s’efforça de se conduire le plus normalement du monde et après que Dudley eut été mis au lit, il entra juste à temps dans le salon pour voir la fin du journal télévisé :
normalement      	Mr Dursley s’efforça de se conduire le plus normalement du monde et après que Dudley eut été mis au lit, il entra juste à temps dans le salon pour voir la fin du journal télévisé :
lit              	Mr Dursley s’efforça de se conduire le plus normalement du monde et après que Dudley eut été mis au lit, il entra juste à temps dans le salon pour voir la fin du journal télévisé :
salon            	Mr Dursley s’efforça de se conduire le plus normalement du monde et après que Dudley eut été mis au lit, il entra juste à temps dans le salon pour voir la fin du journal télévisé :
fin              	Mr Dursley s’efforça de se conduire le plus normalement du monde et après que Dudley eut été mis au lit, il entra juste à temps dans le salon pour voir la fin du journal télévisé :
journal          	Mr Dursley s’efforça de se conduire le plus normalement du monde et après que Dudley eut été mis au lit, il entra juste à temps dans le salon pour voir la fin du journal télévisé :
téléviser        	Mr Dursley s’efforça de se conduire le plus normalement du monde et après que Dudley eut été mis au lit, il entra juste à temps dans le salon pour voir la fin du journal télévisé :
témoignage       	– D’après des témoignages venus de diverses régions, il semblerait que les hiboux se soient comportés d’une bien étrange manière au cours de la journée, dit le présentateur.
divers           	– D’après des témoignages venus de diverses régions, il semblerait que les hiboux se soient comportés d’une bien étrange manière au cours de la journée, dit le présentateur.
région           	– D’après des témoignages venus de diverses régions, il semblerait que les hiboux se soient comportés d’une bien étrange manière au cours de la journée, dit le présentateur.
comporter        	– D’après des témoignages venus de diverses régions, il semblerait que les hiboux se soient comportés d’une bien étrange manière au cours de la journée, dit le présentateur.
présentateur     	– D’après des témoignages venus de diverses régions, il semblerait que les hiboux se soient comportés d’une bien étrange manière au cours de la journée, dit le présentateur.
nocturne         	Normalement, les hiboux sont des rapaces nocturnes qui attendent la nuit pour chasser leurs proies.
attendre         	Normalement, les hiboux sont des rapaces nocturnes qui attendent la nuit pour chasser leurs proies.
or               	Or, aujourd’hui, des centaines de témoins ont vu ces oiseaux voler un peu partout depuis le lever du soleil.
centaine         	Or, aujourd’hui, des centaines de témoins ont vu ces oiseaux voler un peu partout depuis le lever du soleil.
témoin           	Or, aujourd’hui, des centaines de témoins ont vu ces oiseaux voler un peu partout depuis le lever du soleil.
oiseau           	Or, aujourd’hui, des centaines de témoins ont vu ces oiseaux voler un peu partout depuis le lever du soleil.
partout          	Or, aujourd’hui, des centaines de témoins ont vu ces oiseaux voler un peu partout depuis le lever du soleil.
lever            	Or, aujourd’hui, des centaines de témoins ont vu ces oiseaux voler un peu partout depuis le lever du soleil.
expert           	Les experts interrogés ont été incapables d’expliquer les raisons de ce changement de comportement pour le moins étonnant.
interroger       	Les experts interrogés ont été incapables d’expliquer les raisons de ce changement de comportement pour le moins étonnant.
expliquer        	Les experts interrogés ont été incapables d’expliquer les raisons de ce changement de comportement pour le moins étonnant.
changement       	Les experts interrogés ont été incapables d’expliquer les raisons de ce changement de comportement pour le moins étonnant.
moins            	Les experts interrogés ont été incapables d’expliquer les raisons de ce changement de comportement pour le moins étonnant.
étonnant         	Les experts interrogés ont été incapables d’expliquer les raisons de ce changement de comportement pour le moins étonnant.
voilà            	Voilà qui est bien mystérieux, conclut le présentateur en s’autorisant un sourire.
conclure         	Voilà qui est bien mystérieux, conclut le présentateur en s’autorisant un sourire.
autoriser        	Voilà qui est bien mystérieux, conclut le présentateur en s’autorisant un sourire.
maintenant       	Et maintenant, voici venue l’heure de la météo, avec les prévisions de Jim McGuffin.
voici            	Et maintenant, voici venue l’heure de la météo, avec les prévisions de Jim McGuffin.
météo            	Et maintenant, voici venue l’heure de la météo, avec les prévisions de Jim McGuffin.
prévision        	Et maintenant, voici venue l’heure de la météo, avec les prévisions de Jim McGuffin.
chute            	Alors, Jim, est-ce qu’on doit s’attendre à d’autres chutes de hiboux au cours de la nuit prochaine ?
prochain         	Alors, Jim, est-ce qu’on doit s’attendre à d’autres chutes de hiboux au cours de la nuit prochaine ?
ça               	Ça, je serais bien incapable de vous le dire, Ted, répondit l’homme de la météo, mais sachez en tout cas que les hiboux n’ont pas été les seuls à se comporter d’une étrange manière.
je               	Ça, je serais bien incapable de vous le dire, Ted, répondit l’homme de la météo, mais sachez en tout cas que les hiboux n’ont pas été les seuls à se comporter d’une étrange manière.
cas              	Ça, je serais bien incapable de vous le dire, Ted, répondit l’homme de la météo, mais sachez en tout cas que les hiboux n’ont pas été les seuls à se comporter d’une étrange manière.
téléspectateur   	Des téléspectateurs qui habitent dans des régions aussi éloignées les unes des autres que le Kent, le Yorkshire et la côte est de l’Écosse m’ont téléphoné pour me dire qu’au lieu des averses que j’avais prévues pour aujourd’hui, ils ont vu de véritables pluies d’étoiles filantes !
côte             	Des téléspectateurs qui habitent dans des régions aussi éloignées les unes des autres que le Kent, le Yorkshire et la côte est de l’Écosse m’ont téléphoné pour me dire qu’au lieu des averses que j’avais prévues pour aujourd’hui, ils ont vu de véritables pluies d’étoiles filantes !
téléphoner       	Des téléspectateurs qui habitent dans des régions aussi éloignées les unes des autres que le Kent, le Yorkshire et la côte est de l’Écosse m’ont téléphoné pour me dire qu’au lieu des averses que j’avais prévues pour aujourd’hui, ils ont vu de véritables pluies d’étoiles filantes !
lieu             	Des téléspectateurs qui habitent dans des régions aussi éloignées les unes des autres que le Kent, le Yorkshire et la côte est de l’Écosse m’ont téléphoné pour me dire qu’au lieu des averses que j’avais prévues pour aujourd’hui, ils ont vu de véritables pluies d’étoiles filantes !
averse           	Des téléspectateurs qui habitent dans des régions aussi éloignées les unes des autres que le Kent, le Yorkshire et la côte est de l’Écosse m’ont téléphoné pour me dire qu’au lieu des averses que j’avais prévues pour aujourd’hui, ils ont vu de véritables pluies d’étoiles filantes !
véritable        	Des téléspectateurs qui habitent dans des régions aussi éloignées les unes des autres que le Kent, le Yorkshire et la côte est de l’Écosse m’ont téléphoné pour me dire qu’au lieu des averses que j’avais prévues pour aujourd’hui, ils ont vu de véritables pluies d’étoiles filantes !
pluie            	Des téléspectateurs qui habitent dans des régions aussi éloignées les unes des autres que le Kent, le Yorkshire et la côte est de l’Écosse m’ont téléphoné pour me dire qu’au lieu des averses que j’avais prévues pour aujourd’hui, ils ont vu de véritables pluies d’étoiles filantes !
étoile           	Des téléspectateurs qui habitent dans des régions aussi éloignées les unes des autres que le Kent, le Yorkshire et la côte est de l’Écosse m’ont téléphoné pour me dire qu’au lieu des averses que j’avais prévues pour aujourd’hui, ils ont vu de véritables pluies d’étoiles filantes !
filant           	Des téléspectateurs qui habitent dans des régions aussi éloignées les unes des autres que le Kent, le Yorkshire et la côte est de l’Écosse m’ont téléphoné pour me dire qu’au lieu des averses que j’avais prévues pour aujourd’hui, ils ont vu de véritables pluies d’étoiles filantes !
feu              	Peut-être s’agissait-il des feux de joie de la nuit du 5 novembre, bien que ce ne soit pas encore la saison.
joie             	Peut-être s’agissait-il des feux de joie de la nuit du 5 novembre, bien que ce ne soit pas encore la saison.
novembre         	Peut-être s’agissait-il des feux de joie de la nuit du 5 novembre, bien que ce ne soit pas encore la saison.
saison           	Peut-être s’agissait-il des feux de joie de la nuit du 5 novembre, bien que ce ne soit pas encore la saison.
humide           	Quoi qu’il en soit, vous pouvez être sûrs que le temps de la nuit prochaine sera très humide.
figer            	Mr Dursley se figea dans son fauteuil.
fauteuil         	Mr Dursley se figea dans son fauteuil.
bizarre          	Des gens bizarres vêtus de capes ?
murmure          	Et ces murmures, ces murmures sur les Potter…
tasse            	Mrs Dursley entra dans le salon avec deux tasses de thé.
thé              	Mrs Dursley entra dans le salon avec deux tasses de thé.
falloir          	Il fallait lui en parler.
nerveux          	Mr Dursley, un peu nerveux, s’éclaircit la gorge.
éclaircir        	Mr Dursley, un peu nerveux, s’éclaircit la gorge.
gorge            	Mr Dursley, un peu nerveux, s’éclaircit la gorge.
euh              	– Euh… Pétunia, ma chérie, dit-il, tu n’as pas eu de nouvelles de ta sœur récemment ?
pétunia          	– Euh… Pétunia, ma chérie, dit-il, tu n’as pas eu de nouvelles de ta sœur récemment ?
chéri            	– Euh… Pétunia, ma chérie, dit-il, tu n’as pas eu de nouvelles de ta sœur récemment ?
tu               	– Euh… Pétunia, ma chérie, dit-il, tu n’as pas eu de nouvelles de ta sœur récemment ?
récemment        	– Euh… Pétunia, ma chérie, dit-il, tu n’as pas eu de nouvelles de ta sœur récemment ?
épouse           	Comme il s’y attendait, son épouse parut choquée et furieuse.
paraître         	Comme il s’y attendait, son épouse parut choquée et furieuse.
choquer          	Comme il s’y attendait, son épouse parut choquée et furieuse.
furieux          	Comme il s’y attendait, son épouse parut choquée et furieuse.
sèchement        	Non, répondit-elle sèchement.
truc             	– Ils ont dit un truc bizarre à la télé, grommela
télé             	– Ils ont dit un truc bizarre à la télé, grommela
tas              	Des histoires de hiboux… d’étoiles filantes… et il y avait tout un tas de gens qui avaient un drôle d’air aujourd’hui.
drôle            	Des histoires de hiboux… d’étoiles filantes… et il y avait tout un tas de gens qui avaient un drôle d’air aujourd’hui.
bande            	Rien, je me disais que… peut-être… ça avait quelque chose à voir avec… sa bande… Mrs Dursley retroussait les lèvres en buvant son thé à petites gorgées.
retrousser       	Rien, je me disais que… peut-être… ça avait quelque chose à voir avec… sa bande… Mrs Dursley retroussait les lèvres en buvant son thé à petites gorgées.
lèvre            	Rien, je me disais que… peut-être… ça avait quelque chose à voir avec… sa bande… Mrs Dursley retroussait les lèvres en buvant son thé à petites gorgées.
boire            	Rien, je me disais que… peut-être… ça avait quelque chose à voir avec… sa bande… Mrs Dursley retroussait les lèvres en buvant son thé à petites gorgées.
gorgée           	Rien, je me disais que… peut-être… ça avait quelque chose à voir avec… sa bande… Mrs Dursley retroussait les lèvres en buvant son thé à petites gorgées.
oser             	Son mari se demanda s’il allait oser lui raconter qu’il avait entendu prononcer le nom de « Potter ».
prononcer        	Son mari se demanda s’il allait oser lui raconter qu’il avait entendu prononcer le nom de « Potter ».
préférer         	Il préféra s’en abstenir.
abstenir         	Il préféra s’en abstenir.
détacher         	D’un air aussi détaché que possible, il dit :
près             	Il a à peu près le même âge que Dudley, non ?
âge              	Il a à peu près le même âge que Dudley, non ?
répliquer        	– J’imagine, répliqua Mrs Dursley avec raideur.
raideur          	– J’imagine, répliqua Mrs Dursley avec raideur.
comment          	– Comment s’appelle-t-il, déjà ?
ordinaire        	Un nom très ordinaire, très désagréable, si tu veux mon avis.
désagréable      	Un nom très ordinaire, très désagréable, si tu veux mon avis.
ah               	Ah oui, répondit Mr Dursley en sentant son cœur s’arrêter.
cœur             	Ah oui, répondit Mr Dursley en sentant son cœur s’arrêter.
arrêter          	Ah oui, répondit Mr Dursley en sentant son cœur s’arrêter.
accord           	Oui, je suis d’accord avec toi.
toi              	Oui, je suis d’accord avec toi.
sujet            	Il ne dit pas un mot de plus à ce sujet tandis qu’ils montaient l’escalier pour aller se coucher.
escalier         	Il ne dit pas un mot de plus à ce sujet tandis qu’ils montaient l’escalier pour aller se coucher.
coucher          	Il ne dit pas un mot de plus à ce sujet tandis qu’ils montaient l’escalier pour aller se coucher.
salle            	Pendant que Mrs Dursley était dans la salle de bains, Mr Dursley se glissa vers la fenêtre de la chambre et jeta un coup d’œil dans le jardin.
bain             	Pendant que Mrs Dursley était dans la salle de bains, Mr Dursley se glissa vers la fenêtre de la chambre et jeta un coup d’œil dans le jardin.
glisser          	Pendant que Mrs Dursley était dans la salle de bains, Mr Dursley se glissa vers la fenêtre de la chambre et jeta un coup d’œil dans le jardin.
chambre          	Pendant que Mrs Dursley était dans la salle de bains, Mr Dursley se glissa vers la fenêtre de la chambre et jeta un coup d’œil dans le jardin.
lien             	Tout cela avait-il un lien avec les Potter ?
avérer           	S’il s’avérait qu’ils étaient parents avec des…
parent           	S’il s’avérait qu’ils étaient parents avec des…
endormir         	Mrs Dursley s’endormit très vite mais son mari resta éveillé, retournant dans sa tête les événements de la journée.
vite             	Mrs Dursley s’endormit très vite mais son mari resta éveillé, retournant dans sa tête les événements de la journée.
événement        	Mrs Dursley s’endormit très vite mais son mari resta éveillé, retournant dans sa tête les événements de la journée.
consoler         	La seule pensée qui le consola avant de sombrer enfin dans le sommeil, ce fut que même si les Potter avaient vraiment quelque chose à voir avec ce qui s’était passé, il n’y avait aucune raison pour que lui et sa femme en subissent les conséquences.
sombrer          	La seule pensée qui le consola avant de sombrer enfin dans le sommeil, ce fut que même si les Potter avaient vraiment quelque chose à voir avec ce qui s’était passé, il n’y avait aucune raison pour que lui et sa femme en subissent les conséquences.
sommeil          	La seule pensée qui le consola avant de sombrer enfin dans le sommeil, ce fut que même si les Potter avaient vraiment quelque chose à voir avec ce qui s’était passé, il n’y avait aucune raison pour que lui et sa femme en subissent les conséquences.
vraiment         	La seule pensée qui le consola avant de sombrer enfin dans le sommeil, ce fut que même si les Potter avaient vraiment quelque chose à voir avec ce qui s’était passé, il n’y avait aucune raison pour que lui et sa femme en subissent les conséquences.
subir            	La seule pensée qui le consola avant de sombrer enfin dans le sommeil, ce fut que même si les Potter avaient vraiment quelque chose à voir avec ce qui s’était passé, il n’y avait aucune raison pour que lui et sa femme en subissent les conséquences.
conséquence      	La seule pensée qui le consola avant de sombrer enfin dans le sommeil, ce fut que même si les Potter avaient vraiment quelque chose à voir avec ce qui s’était passé, il n’y avait aucune raison pour que lui et sa femme en subissent les conséquences.
espèce           	Les Potter savaient parfaitement ce que Pétunia et lui pensaient des gens de leur espèce…
mêler            	Et il ne voyait pas comment tous deux pourraient être mêlés à ces histoires.
bâiller          	Il bâilla et se retourna.
tort             	Et il avait grand tort de penser ainsi.
ainsi            	Et il avait grand tort de penser ainsi.
emporter         	Tandis que Mr Dursley se laissait emporter dans un sommeil quelque peu agité, le chat sur le mur, lui, ne montrait aucun signe de somnolence.
agiter           	Tandis que Mr Dursley se laissait emporter dans un sommeil quelque peu agité, le chat sur le mur, lui, ne montrait aucun signe de somnolence.
signe            	Tandis que Mr Dursley se laissait emporter dans un sommeil quelque peu agité, le chat sur le mur, lui, ne montrait aucun signe de somnolence.
somnolence       	Tandis que Mr Dursley se laissait emporter dans un sommeil quelque peu agité, le chat sur le mur, lui, ne montrait aucun signe de somnolence.
immobile         	Il restait assis, immobile comme une statue, fixant de ses yeux grands ouverts le coin de Privet Drive.
statue           	Il restait assis, immobile comme une statue, fixant de ses yeux grands ouverts le coin de Privet Drive.
fixer            	Il restait assis, immobile comme une statue, fixant de ses yeux grands ouverts le coin de Privet Drive.
ouvrir           	Il restait assis, immobile comme une statue, fixant de ses yeux grands ouverts le coin de Privet Drive.
réaction         	Il n’eut pas la moindre réaction lorsqu’une portière de voiture claqua dans la rue voisine, ni quand deux hiboux passèrent au-dessus de sa tête.
portière         	Il n’eut pas la moindre réaction lorsqu’une portière de voiture claqua dans la rue voisine, ni quand deux hiboux passèrent au-dessus de sa tête.
claquer          	Il n’eut pas la moindre réaction lorsqu’une portière de voiture claqua dans la rue voisine, ni quand deux hiboux passèrent au-dessus de sa tête.
ni               	Il n’eut pas la moindre réaction lorsqu’une portière de voiture claqua dans la rue voisine, ni quand deux hiboux passèrent au-dessus de sa tête.
minuit           	Il était presque minuit quand il bougea enfin.
apparaître       	Un homme apparut à l’angle de la rue que le chat avait observé pendant tout ce temps.
angle            	Un homme apparut à l’angle de la rue que le chat avait observé pendant tout ce temps.
soudainement     	Il apparut si soudainement et dans un tel silence qu’il semblait avoir jailli du sol.
silence          	Il apparut si soudainement et dans un tel silence qu’il semblait avoir jailli du sol.
jaillir          	Il apparut si soudainement et dans un tel silence qu’il semblait avoir jailli du sol.
sol              	Il apparut si soudainement et dans un tel silence qu’il semblait avoir jailli du sol.
queue            	La queue du chat frémit, ses yeux se rétrécirent.
frémir           	La queue du chat frémit, ses yeux se rétrécirent.
rétrécir         	La queue du chat frémit, ses yeux se rétrécirent.
ressembler       	On n’avait encore jamais vu dans Privet Drive quelque chose qui ressemblât à cet homme.
juger            	Il était grand, mince et très vieux, à en juger par la couleur argentée de ses cheveux et de sa barbe qui lui descendaient jusqu’à la taille.
couleur          	Il était grand, mince et très vieux, à en juger par la couleur argentée de ses cheveux et de sa barbe qui lui descendaient jusqu’à la taille.
argenté          	Il était grand, mince et très vieux, à en juger par la couleur argentée de ses cheveux et de sa barbe qui lui descendaient jusqu’à la taille.
cheveu           	Il était grand, mince et très vieux, à en juger par la couleur argentée de ses cheveux et de sa barbe qui lui descendaient jusqu’à la taille.
barbe            	Il était grand, mince et très vieux, à en juger par la couleur argentée de ses cheveux et de sa barbe qui lui descendaient jusqu’à la taille.
descendre        	Il était grand, mince et très vieux, à en juger par la couleur argentée de ses cheveux et de sa barbe qui lui descendaient jusqu’à la taille.
robe             	Il était vêtu d’une longue robe, d’une cape violette qui balayait le sol et chaussé de bottes à hauts talons munies de boucles.
balayer          	Il était vêtu d’une longue robe, d’une cape violette qui balayait le sol et chaussé de bottes à hauts talons munies de boucles.
